School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,29,8,21,.276,1.99,57.48275862068966,63.03448275862069,18.75862068965517,43.13793103448276,.435,8.448275862068966,23.551724137931036,.359,11.517241379310345,16.517241379310345,.697,6.275862068965517,22.96551724137931,12.655172413793103,7.275862068965517,1.8620689655172413,13.275862068965518,19.724137931034484,False
Akron,28,12,16,.429,1.67,67.89285714285714,72.64285714285714,21.892857142857142,48.392857142857146,.452,6.75,15.571428571428571,.433,17.357142857142858,23.928571428571427,.725,9.0,29.392857142857142,13.535714285714286,5.75,3.1785714285714284,15.892857142857142,18.428571428571427,False
Alabama A&M,28,17,11,.607,-11.79,73.42857142857143,74.60714285714286,26.535714285714285,67.92857142857143,.391,5.571428571428571,19.142857142857142,.291,14.785714285714286,23.607142857142858,.626,17.75,40.642857142857146,13.857142857142858,12.107142857142858,2.7857142857142856,16.892857142857142,21.785714285714285,False
Alabama-Birmingham,31,17,14,.548,4.08,72.12903225806451,69.58064516129032,25.774193548387096,60.70967741935484,.425,5.741935483870968,17.806451612903224,.322,14.838709677419354,22.870967741935484,.649,14.64516129032258,41.096774193548384,12.64516129032258,6.709677419354839,4.032258064516129,15.0,20.838709677419356,False
Alabama State NCAA,31,22,9,.710,-13.61,68.87096774193549,63.87096774193548,24.387096774193548,55.25806451612903,.441,5.32258064516129,16.322580645161292,.326,14.774193548387096,22.451612903225808,.658,12.451612903225806,37.903225806451616,13.225806451612904,8.387096774193548,3.0,16.451612903225808,16.193548387096776,True
Alabama,36,25,11,.694,6.27,76.69444444444444,68.94444444444444,26.47222222222222,61.083333333333336,.433,6.444444444444445,19.75,.326,17.305555555555557,24.805555555555557,.698,16.11111111111111,42.19444444444444,12.166666666666666,7.138888888888889,4.611111111111111,15.194444444444445,19.166666666666668,False
Albany (NY),28,6,22,.214,-8.67,68.85714285714286,77.46428571428571,25.428571428571427,59.142857142857146,.430,5.928571428571429,15.785714285714286,.376,12.071428571428571,17.892857142857142,.675,10.035714285714286,32.857142857142854,11.285714285714286,8.035714285714286,2.2857142857142856,15.285714285714286,20.357142857142858,False
Alcorn State,30,15,15,.500,-10.78,74.83333333333333,76.1,26.133333333333333,59.666666666666664,.438,5.3,15.866666666666667,.334,17.266666666666666,24.866666666666667,.694,14.433333333333334,38.6,12.2,7.6,3.1666666666666665,19.233333333333334,19.6,False
American,27,7,20,.259,-2.81,58.48148148148148,66.0,22.074074074074073,54.44444444444444,.405,4.074074074074074,14.148148148148149,.288,10.25925925925926,17.925925925925927,.572,12.88888888888889,37.03703703703704,10.851851851851851,5.074074074074074,4.222222222222222,15.962962962962964,17.51851851851852,False
Appalachian State,31,11,20,.355,-4.24,64.6774193548387,70.51612903225806,23.967741935483872,55.32258064516129,.433,4.290322580645161,14.129032258064516,.304,12.451612903225806,18.451612903225808,.675,13.225806451612904,37.806451612903224,14.32258064516129,6.225806451612903,2.5483870967741935,17.64516129032258,19.29032258064516,False
