School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,32,16,16,.500,3.31,64.8125,65.0625,22.5625,47.875,.471,6.625,17.59375,.377,13.0625,18.53125,.705,5.84375,28.6875,15.4375,6.25,2.59375,12.0625,17.59375,False
Akron NCAA,36,23,13,.639,-1.02,70.11111111111111,65.69444444444444,24.77777777777778,57.583333333333336,.430,7.861111111111111,21.805555555555557,.361,12.694444444444445,18.02777777777778,.704,10.083333333333334,34.388888888888886,14.444444444444445,6.666666666666667,3.5833333333333335,12.0,19.22222222222222,True
Alabama A&M,28,13,15,.464,-11.75,64.57142857142857,66.78571428571429,22.607142857142858,57.07142857142857,.396,4.464285714285714,15.5,.288,14.892857142857142,23.857142857142858,.624,12.392857142857142,37.785714285714285,12.107142857142858,8.321428571428571,5.392857142857143,15.857142857142858,20.071428571428573,False
Alabama-Birmingham NCAA,31,22,9,.710,2.78,68.35483870967742,62.58064516129032,24.387096774193548,55.645161290322584,.438,7.709677419354839,22.516129032258064,.342,11.870967741935484,16.548387096774192,.717,11.35483870967742,35.774193548387096,13.548387096774194,5.290322580645161,3.129032258064516,12.483870967741936,16.580645161290324,True
Alabama State NCAA,35,17,18,.486,-10.31,61.31428571428572,63.82857142857143,20.8,52.6,.395,4.714285714285714,16.65714285714286,.283,15.0,24.857142857142858,.603,13.142857142857142,36.31428571428572,11.542857142857143,7.285714285714286,4.6571428571428575,15.742857142857142,22.2,True
Alabama,37,25,12,.676,4.27,66.83783783783784,59.4054054054054,25.135135135135137,55.83783783783784,.450,4.108108108108108,13.783783783783784,.298,12.45945945945946,17.62162162162162,.707,12.378378378378379,36.189189189189186,12.27027027027027,9.486486486486486,5.135135135135135,13.945945945945946,18.243243243243242,False
Albany (NY),32,16,16,.500,-5.96,62.90625,64.0,22.625,53.34375,.424,7.4375,19.6875,.378,10.21875,15.84375,.645,11.75,36.09375,11.5625,4.6875,2.8125,12.84375,15.78125,False
Alcorn State,28,4,24,.143,-8.02,65.64285714285714,80.64285714285714,21.928571428571427,59.42857142857143,.369,4.142857142857143,12.821428571428571,.323,17.642857142857142,27.892857142857142,.633,10.535714285714286,35.42857142857143,9.107142857142858,7.785714285714286,3.6785714285714284,16.892857142857142,21.785714285714285,False
American,31,22,9,.710,-5.64,66.16129032258064,63.645161290322584,23.096774193548388,51.67741935483871,.447,6.064516129032258,17.967741935483872,.338,13.903225806451612,19.35483870967742,.718,9.290322580645162,33.67741935483871,13.870967741935484,4.096774193548387,2.774193548387097,11.161290322580646,18.0,False
Appalachian State,31,16,15,.516,-2.95,73.06451612903226,73.19354838709677,25.483870967741936,56.064516129032256,.455,6.32258064516129,18.774193548387096,.337,15.774193548387096,22.387096774193548,.705,10.419354838709678,34.41935483870968,10.548387096774194,5.774193548387097,2.870967741935484,13.0,17.451612903225808,False
Arizona State,31,12,19,.387,7.20,63.96774193548387,66.87096774193549,23.193548387096776,54.0,.430,7.741935483870968,22.06451612903226,.351,9.838709677419354,15.67741935483871,.628,9.35483870967742,31.967741935483872,14.935483870967742,6.32258064516129,3.7096774193548385,12.225806451612904,18.516129032258064,False
Arizona NCAA,38,30,8,.789,7.99,76.44736842105263,67.89473684210526,25.5,54.31578947368421,.469,7.7894736842105265,19.605263157894736,.397,17.657894736842106,23.657894736842106,.746,10.736842105263158,34.71052631578947,14.105263157894736,5.184210526315789,2.5789473684210527,12.736842105263158,18.605263157894736,True
Little Rock NCAA,36,19,17,.528,-2.97,68.25,67.38888888888889,22.916666666666668,53.833333333333336,.426,6.722222222222222,17.083333333333332,.393,15.694444444444445,22.75,.690,10.472222222222221,33.44444444444444,12.027777777777779,5.888888888888889,2.4722222222222223,11.88888888888889,20.555555555555557,True
Arkansas-Pine Bluff,31,7,24,.226,-8.03,59.67741935483871,71.64516129032258,20.225806451612904,51.935483870967744,.389,6.161290322580645,17.93548387096774,.344,13.064516129032258,20.838709677419356,.627,9.64516129032258,31.838709677419356,11.516129032258064,7.548387096774194,2.161290322580645,16.70967741935484,20.93548387096774,False
Arkansas State,32,17,15,.531,-3.31,68.375,64.5625,23.28125,53.875,.432,5.21875,15.8125,.330,16.59375,23.4375,.708,12.34375,36.78125,11.34375,6.3125,3.09375,13.0625,18.28125,False
Arkansas,31,18,13,.581,2.34,70.6774193548387,66.74193548387096,24.387096774193548,55.935483870967744,.436,6.580645161290323,18.161290322580644,.362,15.32258064516129,22.032258064516128,.695,10.709677419354838,34.29032258064516,12.03225806451613,7.258064516129032,5.870967741935484,13.258064516129032,18.096774193548388,False
Army,30,11,19,.367,-6.58,67.93333333333334,71.36666666666666,23.566666666666666,56.7,.416,8.8,24.166666666666668,.364,12.0,16.9,.710,10.8,34.0,13.433333333333334,5.633333333333334,1.7666666666666666,14.133333333333333,20.2,False
Auburn,31,11,20,.355,2.40,62.354838709677416,66.16129032258064,21.774193548387096,54.67741935483871,.398,4.774193548387097,15.0,.318,14.03225806451613,21.387096774193548,.656,12.35483870967742,34.41935483870968,11.258064516129032,7.806451612903226,3.225806451612903,14.193548387096774,20.677419354838708,False
Austin Peay,34,20,14,.588,-3.77,73.82352941176471,67.02941176470588,26.441176470588236,57.64705882352941,.459,5.470588235294118,15.205882352941176,.360,15.470588235294118,22.735294117647058,.680,12.617647058823529,36.088235294117645,14.235294117647058,8.588235294117647,4.176470588235294,14.264705882352942,18.38235294117647,False
Ball State,32,19,13,.594,-3.40,67.625,64.03125,22.625,50.71875,.446,4.65625,13.84375,.336,17.71875,25.5625,.693,10.375,33.65625,13.625,6.03125,2.0,12.9375,17.9375,False
Baylor,31,18,13,.581,4.80,69.48387096774194,64.0,24.258064516129032,52.193548387096776,.465,5.290322580645161,15.290322580645162,.346,15.67741935483871,22.548387096774192,.695,11.612903225806452,35.096774193548384,11.774193548387096,7.0,4.193548387096774,15.709677419354838,16.903225806451612,False
Belmont NCAA,35,30,5,.857,-4.42,79.71428571428571,62.22857142857143,26.97142857142857,58.42857142857143,.462,9.342857142857143,24.685714285714287,.378,16.428571428571427,22.314285714285713,.736,12.885714285714286,35.94285714285714,16.428571428571427,9.657142857142857,3.3714285714285714,13.714285714285714,20.82857142857143,True
Bethune-Cookman,34,21,13,.618,-8.04,65.91176470588235,65.88235294117646,23.41176470588235,53.35294117647059,.439,4.117647058823529,13.029411764705882,.316,14.970588235294118,21.147058823529413,.708,10.735294117647058,32.1764705882353,11.558823529411764,7.117647058823529,2.6470588235294117,12.205882352941176,19.235294117647058,False
Binghamton,31,8,23,.258,-5.35,60.03225806451613,68.48387096774194,21.0,52.935483870967744,.397,7.516129032258065,21.258064516129032,.354,10.516129032258064,15.0,.701,10.193548387096774,30.93548387096774,10.903225806451612,5.064516129032258,3.2903225806451615,12.387096774193548,16.225806451612904,False
Boise State,35,22,13,.629,0.01,74.11428571428571,68.05714285714286,25.02857142857143,57.2,.438,6.771428571428571,19.685714285714287,.344,17.285714285714285,23.942857142857143,.722,11.142857142857142,33.08571428571429,12.82857142857143,8.628571428571428,2.6857142857142855,12.142857142857142,18.885714285714286,False
Boston College,34,21,13,.618,7.31,71.76470588235294,69.29411764705883,25.176470588235293,54.470588235294116,.462,9.0,23.58823529411765,.382,12.411764705882353,17.147058823529413,.724,9.411764705882353,32.088235294117645,15.205882352941176,4.911764705882353,2.5294117647058822,11.058823529411764,14.794117647058824,False
Boston University NCAA,35,21,14,.600,-3.85,64.85714285714286,63.48571428571429,21.4,53.285714285714285,.402,7.571428571428571,21.34285714285714,.355,14.485714285714286,19.857142857142858,.729,11.82857142857143,35.68571428571428,9.857142857142858,5.4,3.6857142857142855,11.942857142857143,18.142857142857142,True
Bowling Green State,33,14,19,.424,-2.03,64.12121212121212,67.12121212121212,24.333333333333332,56.333333333333336,.432,4.424242424242424,14.878787878787879,.297,11.030303030303031,17.181818181818183,.642,10.909090909090908,33.303030303030305,13.636363636363637,8.575757575757576,3.1818181818181817,13.454545454545455,18.424242424242426,False
Bradley,32,12,20,.375,1.67,64.875,67.625,23.375,54.71875,.427,4.96875,14.875,.334,13.15625,18.21875,.722,9.1875,32.75,11.6875,6.3125,2.46875,12.1875,18.25,False
Brigham Young NCAA,37,32,5,.865,5.76,81.4054054054054,67.89189189189189,27.54054054054054,61.270270270270274,.449,8.432432432432432,23.37837837837838,.361,17.89189189189189,23.37837837837838,.765,11.35135135135135,38.513513513513516,14.54054054054054,8.054054054054054,4.054054054054054,10.91891891891892,17.486486486486488,True
Brown,28,11,17,.393,-4.12,71.5,73.35714285714286,24.571428571428573,55.964285714285715,.439,7.464285714285714,21.785714285714285,.343,14.892857142857142,19.928571428571427,.747,7.892857142857143,34.25,14.25,5.25,2.7142857142857144,12.25,16.571428571428573,False
Bryant,30,9,21,.300,-3.12,66.7,75.26666666666667,23.466666666666665,56.1,.418,8.1,22.433333333333334,.361,11.666666666666666,17.9,.652,10.5,33.0,13.333333333333334,5.566666666666666,2.7333333333333334,13.633333333333333,18.833333333333332,False
Bucknell NCAA,34,25,9,.735,-3.87,70.20588235294117,63.94117647058823,24.323529411764707,54.55882352941177,.446,6.882352941176471,17.205882352941178,.400,14.676470588235293,18.61764705882353,.788,7.9411764705882355,33.794117647058826,14.441176470588236,4.705882352941177,3.1176470588235294,11.176470588235293,18.0,True
Buffalo,34,20,14,.588,-2.22,70.55882352941177,64.61764705882354,25.852941176470587,54.794117647058826,.472,6.0588235294117645,16.11764705882353,.376,12.794117647058824,19.647058823529413,.651,12.0,35.44117647058823,14.058823529411764,7.882352941176471,5.382352941176471,15.411764705882353,18.970588235294116,False
Butler NCAA,38,28,10,.737,5.02,71.23684210526316,64.13157894736842,24.18421052631579,55.8421052631579,.433,7.605263157894737,21.63157894736842,.352,15.263157894736842,21.026315789473685,.726,11.342105263157896,35.18421052631579,11.894736842105264,5.947368421052632,1.605263157894737,10.947368421052632,18.894736842105264,True
Cal Poly,30,15,15,.500,-2.39,59.3,58.86666666666667,20.1,51.7,.389,6.333333333333333,20.333333333333332,.311,12.766666666666667,19.233333333333334,.664,11.433333333333334,34.0,11.2,6.033333333333333,2.066666666666667,11.866666666666667,18.566666666666666,False
Cal State Bakersfield,28,9,19,.321,-2.16,68.10714285714286,77.39285714285714,23.464285714285715,59.32142857142857,.396,6.464285714285714,19.5,.332,14.714285714285714,21.357142857142858,.689,12.678571428571429,33.82142857142857,11.75,7.285714285714286,3.1785714285714284,13.642857142857142,19.107142857142858,False
Cal State Fullerton,31,11,20,.355,-2.81,71.2258064516129,75.03225806451613,24.258064516129032,54.03225806451613,.449,6.387096774193548,17.419354838709676,.367,16.322580645161292,22.70967741935484,.719,10.483870967741936,33.41935483870968,12.67741935483871,5.225806451612903,1.4193548387096775,14.161290322580646,20.516129032258064,False
Cal State Northridge,32,14,18,.438,-1.55,69.75,71.25,23.5,53.90625,.436,5.5,16.9375,.325,17.25,25.625,.673,11.40625,34.71875,12.71875,6.5,3.46875,15.75,23.0625,False
UC-Davis,30,10,20,.333,-1.90,71.2,73.13333333333334,24.8,53.96666666666667,.460,8.033333333333333,21.233333333333334,.378,13.566666666666666,18.633333333333333,.728,7.5,30.666666666666668,15.0,6.533333333333333,2.533333333333333,14.1,19.633333333333333,False
UC-Irvine,32,13,19,.406,-2.36,75.34375,75.59375,24.9375,59.125,.422,7.46875,21.09375,.354,18.0,24.5,.735,9.65625,35.875,12.1875,6.65625,1.78125,12.875,21.59375,False
UC-Riverside,31,12,19,.387,-1.40,65.93548387096774,69.80645161290323,24.032258064516128,56.67741935483871,.424,5.193548387096774,14.96774193548387,.347,12.67741935483871,18.580645161290324,.682,11.935483870967742,35.064516129032256,12.064516129032258,5.903225806451613,3.838709677419355,13.935483870967742,18.741935483870968,False
UC-Santa Barbara NCAA,32,18,14,.563,0.12,67.8125,65.78125,23.1875,51.125,.454,7.09375,19.09375,.372,14.34375,19.0625,.752,8.65625,32.4375,14.28125,7.28125,4.15625,14.25,19.09375,True
University of California,33,18,15,.545,9.17,72.45454545454545,72.18181818181819,24.848484848484848,53.90909090909091,.461,5.121212121212121,14.575757575757576,.351,17.636363636363637,25.393939393939394,.695,9.848484848484848,34.93939393939394,14.93939393939394,5.696969696969697,2.5454545454545454,13.606060606060606,17.818181818181817,False
Campbell,31,12,19,.387,-4.27,65.54838709677419,67.45161290322581,23.93548387096774,52.903225806451616,.452,3.967741935483871,11.32258064516129,.350,13.709677419354838,21.387096774193548,.641,11.387096774193548,33.0,13.709677419354838,7.064516129032258,5.0,14.387096774193548,21.93548387096774,False
Canisius,30,15,15,.500,-3.55,68.1,67.46666666666667,24.633333333333333,58.06666666666667,.424,7.7,22.066666666666666,.349,11.133333333333333,15.933333333333334,.699,12.133333333333333,35.43333333333333,14.966666666666667,6.9,4.833333333333333,13.8,19.333333333333332,False
Centenary (LA),30,1,29,.033,-2.85,59.166666666666664,80.73333333333333,19.933333333333334,50.233333333333334,.397,4.366666666666666,14.533333333333333,.300,14.933333333333334,23.833333333333332,.627,9.366666666666667,29.733333333333334,9.8,7.066666666666666,2.433333333333333,18.1,21.866666666666667,False
Central Arkansas,29,5,24,.172,-5.39,68.41379310344827,76.41379310344827,23.79310344827586,57.13793103448276,.416,5.689655172413793,18.17241379310345,.313,15.137931034482758,23.586206896551722,.642,11.862068965517242,33.275862068965516,11.931034482758621,7.620689655172414,2.6206896551724137,16.137931034482758,19.689655172413794,False
Central Connecticut State,31,19,12,.613,-5.97,70.0,65.96774193548387,24.70967741935484,56.70967741935484,.436,4.903225806451613,14.96774193548387,.328,15.67741935483871,20.451612903225808,.767,12.67741935483871,36.225806451612904,14.580645161290322,7.516129032258065,3.903225806451613,14.419354838709678,17.677419354838708,False
Central Florida,33,21,12,.636,1.97,68.81818181818181,63.03030303030303,23.242424242424242,51.21212121212121,.454,5.909090909090909,17.636363636363637,.335,16.424242424242426,23.78787878787879,.690,10.848484848484848,34.93939393939394,12.272727272727273,6.0606060606060606,5.757575757575758,13.757575757575758,17.424242424242426,False
