School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,32,18,14,.563,4.28,70.03125,67.8125,24.84375,52.8125,.470,8.5,22.25,.382,11.84375,16.59375,.714,7.5,27.78125,15.875,6.4375,1.71875,11.875,17.40625,False
Akron NCAA,33,26,7,.788,0.18,71.78787878787878,62.75757575757576,25.818181818181817,56.78787878787879,.455,6.9393939393939394,20.87878787878788,.332,13.212121212121213,20.545454545454547,.643,12.878787878787879,34.696969696969695,14.696969696969697,7.0,5.7272727272727275,13.878787878787879,17.484848484848484,True
Alabama A&M,31,11,20,.355,-9.82,63.12903225806452,69.6774193548387,22.451612903225808,56.32258064516129,.399,5.0,17.032258064516128,.294,13.225806451612904,21.0,.630,12.161290322580646,32.0,11.838709677419354,5.870967741935484,3.2903225806451615,14.32258064516129,17.741935483870968,False
Alabama-Birmingham,33,16,17,.485,1.51,71.42424242424242,71.24242424242425,25.96969696969697,60.0,.433,6.636363636363637,19.848484848484848,.334,12.848484848484848,17.757575757575758,.724,12.363636363636363,32.666666666666664,16.03030303030303,8.151515151515152,2.5757575757575757,15.454545454545455,18.818181818181817,False
Alabama State,32,10,22,.313,-9.01,61.84375,69.71875,22.9375,56.25,.408,5.25,17.40625,.302,10.71875,17.96875,.597,12.4375,32.03125,11.59375,6.3125,3.21875,14.96875,18.6875,False
Alabama,36,23,13,.639,5.93,63.0,58.388888888888886,22.444444444444443,52.416666666666664,.428,5.472222222222222,16.333333333333332,.335,12.63888888888889,18.0,.702,10.583333333333334,29.194444444444443,10.555555555555555,8.166666666666666,4.444444444444445,12.527777777777779,17.194444444444443,False
Albany (NY) NCAA,35,24,11,.686,-4.53,64.31428571428572,60.65714285714286,21.742857142857144,49.94285714285714,.435,6.085714285714285,16.428571428571427,.370,14.742857142857142,20.0,.737,9.857142857142858,29.2,11.257142857142858,5.485714285714286,2.0285714285714285,13.371428571428572,16.114285714285714,True
Alcorn State,34,10,24,.294,-7.11,60.44117647058823,66.11764705882354,21.352941176470587,55.529411764705884,.385,4.852941176470588,16.529411764705884,.294,12.882352941176471,20.735294117647058,.621,10.058823529411764,30.147058823529413,9.058823529411764,6.5,3.823529411764706,15.058823529411764,19.91176470588235,False
American,30,10,20,.333,-2.53,57.833333333333336,63.86666666666667,20.533333333333335,49.7,.413,5.9,16.3,.362,10.866666666666667,15.333333333333334,.709,9.0,29.5,11.6,3.3666666666666667,2.5,12.133333333333333,14.366666666666667,False
Appalachian State,31,15,16,.484,-5.77,71.3225806451613,71.64516129032258,25.06451612903226,57.45161290322581,.436,6.483870967741935,18.06451612903226,.359,14.709677419354838,21.35483870967742,.689,11.35483870967742,31.806451612903224,11.483870967741936,6.838709677419355,3.838709677419355,13.548387096774194,18.548387096774192,False
Arizona State,35,22,13,.629,4.60,71.77142857142857,67.51428571428572,25.771428571428572,56.114285714285714,.459,7.142857142857143,20.62857142857143,.346,13.085714285714285,20.17142857142857,.649,9.657142857142857,33.371428571428574,14.2,6.3428571428571425,6.0285714285714285,12.714285714285714,15.8,False
Arizona NCAA,35,27,8,.771,7.47,73.42857142857143,63.6,25.142857142857142,55.22857142857143,.455,7.685714285714286,20.714285714285715,.371,15.457142857142857,20.62857142857143,.749,11.228571428571428,33.48571428571429,13.6,6.685714285714286,3.8285714285714287,13.085714285714285,16.685714285714287,True
Little Rock,32,17,15,.531,-2.23,66.46875,66.625,22.875,54.25,.422,5.0625,15.03125,.337,15.65625,23.15625,.676,11.28125,30.53125,11.625,6.71875,3.78125,15.25,19.75,False
Arkansas-Pine Bluff,30,16,14,.533,-8.20,62.666666666666664,66.6,22.766666666666666,56.9,.400,5.3,17.533333333333335,.302,11.833333333333334,18.766666666666666,.631,11.7,31.466666666666665,12.733333333333333,9.9,3.3,14.433333333333334,17.766666666666666,False
Arkansas State,31,19,12,.613,-4.36,68.61290322580645,62.70967741935484,22.741935483870968,56.03225806451613,.406,6.354838709677419,20.419354838709676,.311,16.774193548387096,24.580645161290324,.682,12.64516129032258,33.45161290322581,10.451612903225806,8.258064516129032,3.064516129032258,13.161290322580646,17.516129032258064,False
Arkansas,32,19,13,.594,4.97,73.6875,68.84375,26.625,61.25,.435,6.0,19.96875,.300,14.4375,21.46875,.672,12.0625,31.8125,14.84375,9.21875,4.96875,11.625,20.28125,False
Army,31,16,15,.516,-4.52,72.41935483870968,68.12903225806451,24.741935483870968,55.58064516129032,.445,8.064516129032258,21.774193548387096,.370,14.870967741935484,20.258064516129032,.734,10.580645161290322,32.74193548387097,14.258064516129032,5.161290322580645,3.193548387096774,14.096774193548388,19.387096774193548,False
Auburn,32,9,23,.281,4.18,64.8125,68.78125,22.6875,55.53125,.409,5.71875,18.40625,.311,13.71875,19.59375,.700,10.28125,30.59375,12.375,6.9375,3.875,13.34375,20.53125,False
Austin Peay,31,8,23,.258,-4.31,71.54838709677419,76.48387096774194,25.258064516129032,55.29032258064516,.457,7.290322580645161,19.032258064516128,.383,13.741935483870968,20.419354838709676,.673,10.161290322580646,31.032258064516128,14.67741935483871,6.258064516129032,5.129032258064516,16.193548387096776,15.806451612903226,False
Ball State,30,15,15,.500,-3.15,65.23333333333333,68.03333333333333,21.866666666666667,51.4,.425,5.9,18.066666666666666,.327,15.6,23.933333333333334,.652,12.3,33.0,11.833333333333334,6.433333333333334,2.3666666666666667,15.166666666666666,17.2,False
Baylor,37,23,14,.622,7.13,75.97297297297297,66.37837837837837,27.08108108108108,58.86486486486486,.460,6.945945945945946,19.675675675675677,.353,14.864864864864865,21.513513513513512,.691,11.972972972972974,34.5945945945946,15.837837837837839,6.5675675675675675,4.486486486486487,11.891891891891891,17.08108108108108,False
Belmont NCAA,33,26,7,.788,-0.96,76.75757575757575,64.51515151515152,27.454545454545453,55.878787878787875,.491,8.454545454545455,22.09090909090909,.383,13.393939393939394,18.303030303030305,.732,9.272727272727273,29.272727272727273,15.636363636363637,9.757575757575758,2.6666666666666665,13.333333333333334,18.303030303030305,True
Bethune-Cookman,34,14,20,.412,-6.44,67.1470588235294,68.17647058823529,23.970588235294116,57.55882352941177,.416,5.588235294117647,18.235294117647058,.306,13.617647058823529,21.823529411764707,.624,12.5,31.41176470588235,12.911764705882353,7.235294117647059,3.676470588235294,12.352941176470589,20.529411764705884,False
Binghamton,30,3,27,.100,-3.70,55.86666666666667,69.36666666666666,19.6,52.666666666666664,.372,5.2,18.2,.286,11.466666666666667,17.766666666666666,.645,10.1,31.433333333333334,8.233333333333333,5.766666666666667,2.466666666666667,15.366666666666667,16.9,False
Boise State NCAA,32,21,11,.656,5.27,73.21875,65.46875,25.75,55.9375,.460,7.78125,19.90625,.391,13.9375,18.65625,.747,10.09375,30.875,13.21875,6.625,1.6875,12.03125,18.71875,True
Boston College,33,16,17,.485,7.03,67.12121212121212,68.06060606060606,22.727272727272727,51.54545454545455,.441,7.090909090909091,20.060606060606062,.353,14.575757575757576,20.484848484848484,.712,8.757575757575758,28.818181818181817,12.242424242424242,5.575757575757576,2.606060606060606,11.393939393939394,15.727272727272727,False
Boston University,30,17,13,.567,-3.93,67.83333333333333,64.5,24.633333333333333,54.9,.449,8.0,21.6,.370,10.566666666666666,14.533333333333333,.727,8.466666666666667,28.733333333333334,13.6,7.433333333333334,1.7666666666666666,12.466666666666667,16.8,False
Bowling Green State,32,13,19,.406,-1.75,62.8125,63.53125,23.53125,56.09375,.419,4.9375,16.125,.306,10.8125,15.125,.715,10.90625,31.25,12.03125,7.375,4.25,12.8125,16.09375,False
Bradley,35,18,17,.514,1.97,67.74285714285715,68.45714285714286,25.02857142857143,57.31428571428572,.437,5.285714285714286,16.571428571428573,.319,12.4,17.142857142857142,.723,10.657142857142857,29.942857142857143,12.542857142857143,9.085714285714285,2.4,11.857142857142858,17.571428571428573,False
Brigham Young,36,24,12,.667,3.75,77.13888888888889,69.5,27.75,60.77777777777778,.457,5.916666666666667,17.5,.338,15.722222222222221,21.583333333333332,.728,12.027777777777779,35.5,15.972222222222221,8.083333333333334,2.4722222222222223,12.0,18.833333333333332,False
Brown,28,13,15,.464,-3.03,62.42857142857143,64.28571428571429,21.785714285714285,53.214285714285715,.409,7.321428571428571,21.214285714285715,.345,11.535714285714286,18.285714285714285,.631,10.928571428571429,33.142857142857146,12.464285714285714,6.607142857142857,3.6785714285714284,14.142857142857142,16.821428571428573,False
Bryant,31,19,12,.613,-4.72,74.0,71.35483870967742,26.193548387096776,54.61290322580645,.480,7.0,19.677419354838708,.356,14.612903225806452,20.225806451612904,.722,9.774193548387096,30.387096774193548,15.161290322580646,5.096774193548387,1.1290322580645162,12.903225806451612,16.516129032258064,False
Bucknell NCAA,34,28,6,.824,-1.96,66.97058823529412,57.8235294117647,24.058823529411764,53.14705882352941,.453,4.617647058823529,12.882352941176471,.358,14.235294117647058,19.176470588235293,.742,9.058823529411764,33.588235294117645,13.382352941176471,3.4705882352941178,4.088235294117647,9.441176470588236,14.647058823529411,True
Buffalo,34,14,20,.412,-0.35,66.91176470588235,67.26470588235294,23.352941176470587,51.970588235294116,.449,6.323529411764706,18.235294117647058,.347,13.882352941176471,19.735294117647058,.703,11.441176470588236,32.529411764705884,15.0,5.529411764705882,4.588235294117647,15.441176470588236,18.58823529411765,False
Butler NCAA,36,27,9,.750,6.08,69.30555555555556,63.861111111111114,24.13888888888889,53.638888888888886,.450,6.638888888888889,19.11111111111111,.347,14.38888888888889,20.666666666666668,.696,11.63888888888889,33.69444444444444,12.916666666666666,5.722222222222222,2.611111111111111,13.166666666666666,17.88888888888889,True
Cal Poly,32,18,14,.563,-0.62,64.8125,63.125,22.46875,53.0,.424,7.09375,18.9375,.375,12.78125,17.625,.725,10.5,28.5,13.78125,5.75,1.71875,9.4375,17.15625,False
Cal State Bakersfield,30,14,16,.467,-2.17,68.03333333333333,69.0,23.666666666666668,56.56666666666667,.418,6.633333333333334,19.7,.337,14.066666666666666,20.1,.700,11.4,30.266666666666666,12.666666666666666,7.366666666666666,1.8666666666666667,14.133333333333333,20.333333333333332,False
Cal State Fullerton,32,14,18,.438,-3.03,76.59375,74.40625,26.71875,56.84375,.470,8.3125,22.0,.378,14.84375,19.59375,.758,8.375,26.84375,14.75,7.75,1.625,12.53125,18.59375,False
Cal State Northridge,31,14,17,.452,-1.93,75.25806451612904,74.48387096774194,26.387096774193548,60.516129032258064,.436,5.258064516129032,15.64516129032258,.336,17.225806451612904,23.516129032258064,.733,13.741935483870968,33.96774193548387,15.290322580645162,8.451612903225806,2.935483870967742,13.64516129032258,19.516129032258064,False
UC-Davis,31,14,17,.452,-2.57,71.29032258064517,72.2258064516129,25.193548387096776,53.25806451612903,.473,8.290322580645162,20.483870967741936,.405,12.612903225806452,17.548387096774192,.719,8.129032258064516,30.64516129032258,14.774193548387096,4.645161290322581,2.806451612903226,14.0,17.193548387096776,False
UC-Irvine,37,21,16,.568,-0.66,69.13513513513513,65.35135135135135,25.18918918918919,58.13513513513514,.433,6.72972972972973,20.16216216216216,.334,12.027027027027026,18.08108108108108,.665,11.27027027027027,35.21621621621622,15.675675675675675,4.891891891891892,4.297297297297297,12.45945945945946,17.594594594594593,False
UC-Riverside,31,6,25,.194,-1.71,59.0,66.51612903225806,22.193548387096776,53.225806451612904,.417,4.709677419354839,16.29032258064516,.289,9.903225806451612,17.0,.583,11.193548387096774,31.70967741935484,12.32258064516129,6.225806451612903,2.935483870967742,14.612903225806452,15.935483870967742,False
UC-Santa Barbara,31,11,20,.355,0.40,64.61290322580645,67.41935483870968,22.677419354838708,54.064516129032256,.419,7.967741935483871,23.032258064516128,.346,11.290322580645162,16.322580645161292,.692,11.0,32.096774193548384,14.741935483870968,5.32258064516129,4.419354838709677,14.387096774193548,17.93548387096774,False
University of California NCAA,33,21,12,.636,7.77,67.21212121212122,64.33333333333333,25.242424242424242,56.81818181818182,.444,4.0606060606060606,13.424242424242424,.302,12.666666666666666,17.727272727272727,.715,10.93939393939394,34.36363636363637,14.181818181818182,5.818181818181818,4.666666666666667,12.636363636363637,16.636363636363637,True
Campbell,33,13,20,.394,-5.55,69.21212121212122,72.57575757575758,25.90909090909091,58.21212121212121,.445,4.090909090909091,13.333333333333334,.307,13.303030303030303,18.757575757575758,.709,11.545454545454545,30.545454545454547,13.969696969696969,7.575757575757576,3.3333333333333335,13.818181818181818,18.757575757575758,False
Canisius,34,20,14,.588,-0.99,73.5,70.1470588235294,25.205882352941178,56.55882352941177,.446,9.205882352941176,23.852941176470587,.386,13.882352941176471,19.38235294117647,.716,11.764705882352942,31.558823529411764,12.705882352941176,5.823529411764706,3.264705882352941,13.235294117647058,17.0,False
Central Arkansas,30,13,17,.433,-6.12,76.46666666666667,78.63333333333334,28.533333333333335,65.56666666666666,.435,7.133333333333334,20.266666666666666,.352,12.266666666666667,19.4,.632,13.866666666666667,34.9,14.1,7.866666666666666,4.0,14.4,20.866666666666667,False
