School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,28,8,20,.286,4.95,67.21428571428571,72.46428571428571,23.25,58.642857142857146,.396,5.642857142857143,17.75,.318,15.071428571428571,21.964285714285715,.686,,33.642857142857146,11.535714285714286,6.642857142857143,3.5,19.428571428571427,19.428571428571427,False
Akron,26,8,18,.308,0.97,60.19230769230769,67.84615384615384,22.03846153846154,54.46153846153846,.405,4.1923076923076925,13.0,.322,11.923076923076923,18.346153846153847,.650,,31.03846153846154,12.5,8.346153846153847,2.1153846153846154,16.23076923076923,23.384615384615383,False
Alabama-Birmingham,30,14,16,.467,2.94,70.96666666666667,70.66666666666667,25.4,63.03333333333333,.403,4.4,15.033333333333333,.293,15.766666666666667,23.566666666666666,.669,,43.06666666666667,10.466666666666667,7.7,3.7666666666666666,16.433333333333334,21.833333333333332,False
Alabama State,26,11,15,.423,-8.27,80.76923076923077,86.38461538461539,29.384615384615383,70.0,.420,4.730769230769231,15.884615384615385,.298,17.26923076923077,27.115384615384617,.637,,45.26923076923077,15.73076923076923,7.038461538461538,3.0384615384615383,16.192307692307693,20.384615384615383,False
Alabama NCAA,33,23,10,.697,6.59,72.96969696969697,64.0909090909091,27.03030303030303,59.72727272727273,.453,6.2727272727272725,18.727272727272727,.335,12.636363636363637,19.636363636363637,.644,,41.96969696969697,15.181818181818182,6.0606060606060606,6.090909090909091,15.757575757575758,17.727272727272727,True
Alcorn State,26,7,19,.269,-9.08,81.92307692307692,87.8076923076923,29.423076923076923,68.38461538461539,.430,7.769230769230769,22.153846153846153,.351,15.307692307692308,22.346153846153847,.685,,39.38461538461539,14.615384615384615,10.384615384615385,2.5384615384615383,16.923076923076923,22.73076923076923,False
American,28,9,19,.321,-2.50,74.57142857142857,81.39285714285714,25.75,62.857142857142854,.410,8.428571428571429,21.964285714285715,.384,14.642857142857142,21.714285714285715,.674,,36.07142857142857,12.857142857142858,6.357142857142857,1.3571428571428572,13.821428571428571,18.071428571428573,False
Appalachian State,29,9,20,.310,-2.97,73.27586206896552,78.79310344827586,26.689655172413794,59.3448275862069,.450,5.862068965517241,18.17241379310345,.323,14.03448275862069,19.413793103448278,.723,,35.51724137931034,15.931034482758621,7.068965517241379,3.206896551724138,17.379310344827587,19.413793103448278,False
Arizona State NCAA,33,24,9,.727,9.06,78.33333333333333,70.63636363636364,28.90909090909091,61.63636363636363,.469,6.424242424242424,19.09090909090909,.337,14.090909090909092,22.727272727272727,.620,,35.18181818181818,18.424242424242426,10.454545454545455,5.0,16.424242424242426,18.696969696969695,True
Arizona NCAA,31,23,8,.742,10.40,84.87096774193549,75.80645161290323,30.580645161290324,63.25806451612903,.483,7.903225806451613,19.129032258064516,.413,15.806451612903226,24.06451612903226,.657,,41.45161290322581,18.032258064516128,7.161290322580645,3.064516129032258,16.967741935483872,18.193548387096776,True
Little Rock,29,17,12,.586,-5.14,75.79310344827586,71.17241379310344,27.06896551724138,64.0,.423,5.0,14.517241379310345,.344,16.655172413793103,26.689655172413794,.624,,42.03448275862069,12.724137931034482,7.344827586206897,3.5517241379310347,14.10344827586207,21.448275862068964,False
Arkansas State,28,8,20,.286,-4.79,66.21428571428571,74.0,24.071428571428573,60.25,.400,4.892857142857143,16.071428571428573,.304,13.178571428571429,19.928571428571427,.661,,34.92857142857143,13.678571428571429,8.357142857142858,3.0357142857142856,17.107142857142858,21.357142857142858,False
Arkansas NCAA,39,32,7,.821,10.45,87.58974358974359,79.87179487179488,31.358974358974358,67.53846153846153,.464,9.256410256410257,23.512820512820515,.394,15.615384615384615,23.128205128205128,.675,,39.17948717948718,18.487179487179485,11.41025641025641,3.3076923076923075,16.23076923076923,20.23076923076923,True
Army,28,12,16,.429,-11.25,73.5,79.35714285714286,24.178571428571427,58.357142857142854,.414,6.678571428571429,18.285714285714285,.365,18.464285714285715,26.25,.703,,35.857142857142854,12.464285714285714,5.464285714285714,1.6071428571428572,14.964285714285714,21.464285714285715,False
Auburn,29,16,13,.552,6.98,76.82758620689656,73.24137931034483,27.03448275862069,57.310344827586206,.472,7.655172413793103,20.896551724137932,.366,15.172413793103448,21.20689655172414,.715,,36.172413793103445,17.0,7.448275862068965,2.413793103448276,17.06896551724138,17.689655172413794,False
Austin Peay,29,13,16,.448,-4.60,75.62068965517241,76.20689655172414,26.724137931034484,59.06896551724138,.452,5.137931034482759,15.275862068965518,.336,17.03448275862069,24.275862068965516,.702,,34.51724137931034,13.379310344827585,7.482758620689655,3.103448275862069,14.551724137931034,19.413793103448278,False
Ball State NCAA,30,19,11,.633,2.55,77.8,72.76666666666667,28.033333333333335,58.8,.477,5.833333333333333,16.266666666666666,.359,15.9,24.266666666666666,.655,,35.333333333333336,16.466666666666665,8.9,2.8333333333333335,15.666666666666666,20.3,True
Baylor,28,9,19,.321,-0.31,81.17857142857143,86.03571428571429,29.321428571428573,70.42857142857143,.416,9.464285714285714,27.964285714285715,.338,13.071428571428571,19.785714285714285,.661,,41.607142857142854,17.214285714285715,6.25,3.9285714285714284,15.964285714285714,21.964285714285715,False
Bethune-Cookman,28,12,16,.429,-9.17,76.82142857142857,81.89285714285714,27.321428571428573,63.142857142857146,.433,5.25,17.214285714285715,.305,16.642857142857142,24.678571428571427,.674,,39.607142857142854,14.821428571428571,8.035714285714286,3.5,16.5,20.142857142857142,False
Boise State,27,17,10,.630,-0.45,71.70370370370371,66.92592592592592,26.22222222222222,57.629629629629626,.455,3.888888888888889,13.333333333333334,.292,15.37037037037037,23.925925925925927,.642,,32.44444444444444,15.11111111111111,9.62962962962963,3.259259259259259,12.555555555555555,17.814814814814813,False
Boston College,28,9,19,.321,5.46,72.03571428571429,76.39285714285714,25.321428571428573,55.57142857142857,.456,3.9285714285714284,12.321428571428571,.319,17.464285714285715,25.071428571428573,.697,,39.535714285714285,13.285714285714286,7.25,2.4642857142857144,19.928571428571427,19.5,False
Boston University,31,15,16,.484,-2.22,65.51612903225806,66.48387096774194,23.258064516129032,54.935483870967744,.423,3.806451612903226,12.290322580645162,.310,15.193548387096774,22.387096774193548,.679,,38.16129032258065,13.258064516129032,5.580645161290323,4.483870967741935,15.35483870967742,20.032258064516128,False
Bowling Green State,27,16,11,.593,0.88,71.29629629629629,67.66666666666667,26.703703703703702,52.851851851851855,.505,5.37037037037037,14.851851851851851,.362,12.518518518518519,18.74074074074074,.668,,33.407407407407405,14.592592592592593,6.037037037037037,2.2222222222222223,15.703703703703704,16.25925925925926,False
Bradley,30,20,10,.667,3.15,71.06666666666666,65.53333333333333,24.866666666666667,54.63333333333333,.455,5.4,14.2,.380,15.933333333333334,21.933333333333334,.726,,34.86666666666667,14.5,7.533333333333333,3.1,13.1,19.366666666666667,False
Brigham Young NCAA,32,22,10,.688,5.71,75.15625,69.1875,25.28125,54.46875,.464,5.3125,15.1875,.350,19.28125,24.9375,.773,,35.125,15.5625,7.03125,3.09375,14.0,18.78125,True
Brown,26,13,13,.500,-6.64,67.84615384615384,70.76923076923077,23.23076923076923,54.65384615384615,.425,6.653846153846154,17.76923076923077,.374,14.73076923076923,21.307692307692307,.691,,33.11538461538461,13.807692307692308,6.769230769230769,2.769230769230769,14.884615384615385,18.692307692307693,False
Bucknell,27,13,14,.481,-8.88,69.85185185185185,68.18518518518519,24.925925925925927,53.96296296296296,.462,4.888888888888889,12.62962962962963,.387,15.11111111111111,21.14814814814815,.715,,34.888888888888886,12.222222222222221,5.888888888888889,2.7037037037037037,15.925925925925926,18.0,False
Buffalo,28,18,10,.643,-9.33,76.85714285714286,73.25,28.285714285714285,62.964285714285715,.449,6.107142857142857,19.392857142857142,.315,14.178571428571429,20.857142857142858,.680,,39.07142857142857,16.285714285714285,8.857142857142858,4.071428571428571,16.142857142857142,18.535714285714285,False
Butler,27,15,12,.556,-2.30,73.48148148148148,71.14814814814815,25.333333333333332,54.888888888888886,.462,4.37037037037037,12.925925925925926,.338,18.444444444444443,29.444444444444443,.626,,40.333333333333336,13.407407407407407,5.296296296296297,2.4444444444444446,17.22222222222222,18.444444444444443,False
Cal Poly,27,1,26,.037,-0.65,55.2962962962963,84.18518518518519,21.296296296296298,53.48148148148148,.398,3.4074074074074074,10.518518518518519,.324,9.296296296296296,15.74074074074074,.591,,30.40740740740741,10.62962962962963,7.0,1.962962962962963,22.296296296296298,22.77777777777778,False
Cal State Fullerton,27,7,20,.259,2.79,70.81481481481481,79.66666666666667,24.11111111111111,59.25925925925926,.407,5.703703703703703,17.85185185185185,.320,16.962962962962962,25.555555555555557,.664,,35.48148148148148,12.703703703703704,7.62962962962963,2.814814814814815,17.555555555555557,21.444444444444443,False
