School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,28,5,23,.179,5.04,67.14285714285714,74.60714285714286,24.642857142857142,60.142857142857146,.410,4.642857142857143,14.785714285714286,.314,13.214285714285714,21.035714285714285,.628,,37.142857142857146,13.75,5.5,2.8214285714285716,14.392857142857142,19.821428571428573,False
Akron,26,3,23,.115,2.51,62.73076923076923,74.96153846153847,22.115384615384617,54.19230769230769,.408,4.384615384615385,13.884615384615385,.316,14.115384615384615,20.307692307692307,.695,,30.076923076923077,11.807692307692308,5.653846153846154,2.3076923076923075,14.307692307692308,17.46153846153846,False
Alabama-Birmingham,30,16,14,.533,3.70,69.0,68.36666666666666,24.566666666666666,60.1,.409,6.233333333333333,19.3,.323,13.633333333333333,20.566666666666666,.663,,38.766666666666666,12.2,6.966666666666667,3.3333333333333335,13.6,20.666666666666668,False
Alabama State,27,9,18,.333,-12.77,73.88888888888889,82.44444444444444,26.40740740740741,62.111111111111114,.425,6.592592592592593,18.037037037037038,.366,14.481481481481481,22.48148148148148,.644,,30.88888888888889,10.703703703703704,8.333333333333334,1.8888888888888888,12.074074074074074,17.85185185185185,False
Alabama,32,19,13,.594,6.13,71.96875,71.09375,26.34375,61.6875,.427,7.96875,21.875,.364,11.3125,17.0625,.663,,39.125,12.75,6.15625,6.125,13.75,17.71875,False
Alcorn State,25,10,15,.400,-9.20,77.68,83.52,28.84,64.92,.444,4.84,16.12,.300,15.16,23.04,.658,,40.36,14.16,9.32,3.6,18.88,22.32,False
American,27,12,15,.444,-1.27,74.77777777777777,73.25925925925925,25.48148148148148,59.51851851851852,.428,5.518518518518518,16.37037037037037,.337,18.296296296296298,25.62962962962963,.714,,33.55555555555556,11.814814814814815,8.88888888888889,3.037037037037037,14.185185185185185,17.59259259259259,False
Appalachian State,28,8,20,.286,-1.12,71.67857142857143,82.42857142857143,25.571428571428573,55.57142857142857,.460,5.964285714285714,16.357142857142858,.365,14.571428571428571,21.392857142857142,.681,,32.07142857142857,14.678571428571429,6.392857142857143,3.142857142857143,17.25,16.25,False
Arizona State,27,11,16,.407,5.89,73.33333333333333,78.33333333333333,26.925925925925927,63.44444444444444,.424,6.296296296296297,19.62962962962963,.321,13.185185185185185,20.555555555555557,.641,,36.333333333333336,15.25925925925926,8.333333333333334,3.8518518518518516,15.592592592592593,20.62962962962963,False
Arizona NCAA,33,26,7,.788,8.42,81.60606060606061,71.87878787878788,29.484848484848484,60.03030303030303,.491,6.7272727272727275,17.87878787878788,.376,15.909090909090908,24.12121212121212,.660,,37.96969696969697,17.848484848484848,7.393939393939394,3.5454545454545454,16.393939393939394,17.87878787878788,True
Little Rock,30,23,7,.767,-1.03,76.5,67.76666666666667,27.233333333333334,58.5,.466,5.166666666666667,13.633333333333333,.379,16.866666666666667,24.533333333333335,.688,,37.833333333333336,13.5,7.166666666666667,3.6333333333333333,13.066666666666666,18.766666666666666,False
Arkansas State,27,9,18,.333,-0.10,69.11111111111111,75.18518518518519,24.88888888888889,56.851851851851855,.438,5.518518518518518,15.333333333333334,.360,13.814814814814815,22.59259259259259,.611,,33.51851851851852,12.25925925925926,6.555555555555555,2.962962962962963,17.0,21.037037037037038,False
