School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,31,10,21,.323,2.37,58.74193548387097,62.45161290322581,19.70967741935484,44.806451612903224,.440,6.645161290322581,17.612903225806452,.377,12.67741935483871,18.806451612903224,.674,7.387096774193548,28.35483870967742,12.193548387096774,5.0,2.2580645161290325,13.129032258064516,17.483870967741936,False
Akron NCAA,36,23,13,.639,-2.01,66.75,60.30555555555556,22.86111111111111,54.69444444444444,.418,7.166666666666667,21.555555555555557,.332,13.86111111111111,19.583333333333332,.708,11.777777777777779,33.30555555555556,12.38888888888889,7.5,2.2222222222222223,13.61111111111111,20.694444444444443,True
Alabama A&M,27,8,19,.296,-11.63,65.22222222222223,72.37037037037037,22.51851851851852,58.0,.388,4.481481481481482,16.814814814814813,.267,15.703703703703704,23.62962962962963,.665,12.592592592592593,35.111111111111114,11.037037037037036,8.296296296296296,3.3333333333333335,16.59259259259259,20.333333333333332,False
Alabama-Birmingham,34,22,12,.647,3.67,72.38235294117646,66.0,25.88235294117647,56.911764705882355,.455,6.705882352941177,19.88235294117647,.337,13.911764705882353,19.676470588235293,.707,9.647058823529411,34.38235294117647,12.647058823529411,6.588235294117647,2.0294117647058822,11.382352941176471,16.705882352941178,False
Alabama State NCAA,32,22,10,.688,-11.20,68.8125,63.28125,25.5,54.75,.466,5.65625,17.1875,.329,12.15625,19.1875,.634,11.1875,35.3125,13.90625,5.6875,4.78125,13.59375,17.4375,True
Alabama,32,18,14,.563,3.99,73.40625,70.4375,26.40625,59.78125,.442,4.90625,14.96875,.328,15.6875,22.21875,.706,13.78125,39.5,11.15625,7.34375,4.5,14.5,17.0625,False
Albany (NY),31,15,16,.484,-4.11,64.0,65.74193548387096,23.06451612903226,55.25806451612903,.417,4.193548387096774,14.258064516129032,.294,13.67741935483871,19.032258064516128,.719,13.709677419354838,38.903225806451616,11.838709677419354,5.161290322580645,2.032258064516129,15.290322580645162,20.193548387096776,False
Alcorn State,31,6,25,.194,-10.26,69.54838709677419,83.48387096774194,23.93548387096774,61.32258064516129,.390,6.032258064516129,18.419354838709676,.327,15.64516129032258,22.870967741935484,.684,10.258064516129032,32.0,9.96774193548387,8.290322580645162,1.7741935483870968,14.67741935483871,19.64516129032258,False
American NCAA,32,24,8,.750,-5.49,64.53125,59.09375,23.46875,50.4375,.465,7.1875,19.21875,.374,10.40625,16.0625,.648,9.4375,32.6875,13.15625,5.5,2.46875,13.1875,18.15625,True
Appalachian State,31,13,18,.419,-5.44,76.0,76.80645161290323,25.774193548387096,57.03225806451613,.452,7.709677419354839,20.70967741935484,.372,16.741935483870968,23.64516129032258,.708,13.03225806451613,39.354838709677416,13.129032258064516,6.032258064516129,3.4193548387096775,17.483870967741936,20.193548387096776,False
Arizona State NCAA,35,25,10,.714,7.82,69.37142857142857,60.48571428571429,23.571428571428573,49.08571428571429,.480,8.228571428571428,22.228571428571428,.370,14.0,19.0,.737,8.228571428571428,31.0,15.542857142857143,5.742857142857143,2.057142857142857,11.457142857142857,15.914285714285715,True
Arizona NCAA,35,21,14,.600,8.80,72.25714285714285,69.17142857142858,25.62857142857143,54.05714285714286,.474,6.057142857142857,15.657142857142857,.387,14.942857142857143,20.257142857142856,.738,11.057142857142857,33.8,14.285714285714286,6.2,2.9714285714285715,12.628571428571428,15.657142857142857,True
