School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,30,18,12,.600,2.61,61.166666666666664,54.3,21.4,47.53333333333333,.450,8.866666666666667,24.3,.365,9.5,13.2,.720,7.7,23.133333333333333,13.5,8.733333333333333,1.7,9.833333333333334,16.133333333333333,False
Akron,29,19,10,.655,1.67,71.79310344827586,65.58620689655173,25.06896551724138,56.310344827586206,.445,7.931034482758621,21.24137931034483,.373,13.724137931034482,20.344827586206897,.675,10.620689655172415,33.93103448275862,16.17241379310345,6.827586206896552,3.8275862068965516,13.379310344827585,18.82758620689655,False
Alabama A&M NCAA,32,18,14,.563,-12.86,69.65625,67.78125,23.8125,59.34375,.401,6.1875,20.5,.302,15.84375,25.84375,.613,13.21875,37.8125,13.3125,10.5625,3.875,15.25,19.34375,True
Alabama-Birmingham NCAA,33,22,11,.667,4.78,77.48484848484848,71.84848484848484,27.272727272727273,60.484848484848484,.451,6.575757575757576,18.939393939393938,.347,16.363636363636363,23.515151515151516,.696,11.818181818181818,33.03030303030303,15.636363636363637,11.575757575757576,3.0,13.454545454545455,19.575757575757574,True
Alabama State,30,15,15,.500,-11.66,57.96666666666667,61.3,19.433333333333334,51.0,.381,4.533333333333333,15.1,.300,14.566666666666666,22.433333333333334,.649,11.266666666666667,33.666666666666664,10.366666666666667,6.7,2.0,15.766666666666667,17.466666666666665,False
Alabama NCAA,32,24,8,.750,6.81,75.8125,65.09375,25.59375,52.9375,.483,7.78125,19.75,.394,16.84375,22.875,.736,10.4375,36.84375,14.15625,5.125,4.46875,12.8125,14.71875,True
Albany (NY),28,13,15,.464,-5.31,67.35714285714286,64.67857142857143,23.0,52.57142857142857,.438,6.214285714285714,16.392857142857142,.379,15.142857142857142,20.964285714285715,.722,11.071428571428571,33.714285714285715,13.071428571428571,8.035714285714286,2.4285714285714284,14.785714285714286,17.285714285714285,False
Alcorn State,29,7,22,.241,-11.31,57.827586206896555,69.51724137931035,20.103448275862068,53.03448275862069,.379,4.827586206896552,16.96551724137931,.285,12.793103448275861,21.310344827586206,.600,10.89655172413793,33.10344827586207,11.275862068965518,7.655172413793103,3.5517241379310347,19.724137931034484,23.03448275862069,False
American,28,16,12,.571,-4.30,67.17857142857143,66.07142857142857,24.285714285714285,53.75,.452,6.357142857142857,17.357142857142858,.366,12.25,17.178571428571427,.713,10.035714285714286,35.25,12.892857142857142,6.571428571428571,2.7857142857142856,15.0,17.928571428571427,False
Appalachian State,30,18,12,.600,-4.04,73.06666666666666,69.0,26.566666666666666,60.03333333333333,.443,8.6,24.133333333333333,.356,11.333333333333334,17.366666666666667,.653,12.166666666666666,35.0,16.166666666666668,9.866666666666667,4.6,14.9,17.266666666666666,False
Arizona State,32,18,14,.563,5.36,76.03125,72.1875,26.0,57.53125,.452,6.8125,19.59375,.348,17.21875,24.0625,.716,12.90625,36.6875,16.5625,6.28125,3.625,14.59375,18.875,False
Arizona NCAA,37,30,7,.811,8.03,79.67567567567568,69.70270270270271,29.10810810810811,60.945945945945944,.478,6.837837837837838,17.027027027027028,.402,14.621621621621621,18.83783783783784,.776,13.324324324324325,36.78378378378378,16.486486486486488,8.0,3.891891891891892,14.81081081081081,16.10810810810811,True
Little Rock,28,18,10,.643,0.90,67.53571428571429,66.78571428571429,23.857142857142858,52.392857142857146,.455,5.071428571428571,13.678571428571429,.371,14.75,20.285714285714285,.727,10.321428571428571,32.92857142857143,13.285714285714286,6.678571428571429,3.1785714285714284,15.107142857142858,19.357142857142858,False
Arkansas-Pine Bluff,28,7,21,.250,-10.29,59.07142857142857,67.78571428571429,22.214285714285715,57.214285714285715,.388,4.25,16.035714285714285,.265,10.392857142857142,16.0,.650,11.464285714285714,36.035714285714285,11.785714285714286,6.857142857142857,4.964285714285714,16.321428571428573,17.428571428571427,False
Arkansas State,29,16,13,.552,-1.86,76.10344827586206,72.3103448275862,27.517241379310345,60.310344827586206,.456,6.172413793103448,16.586206896551722,.372,14.89655172413793,22.24137931034483,.670,13.517241379310345,38.03448275862069,14.724137931034482,6.931034482758621,2.8275862068965516,14.689655172413794,20.448275862068964,False
Arkansas,30,18,12,.600,3.60,71.56666666666666,62.833333333333336,25.766666666666666,56.4,.457,6.066666666666666,16.3,.372,13.966666666666667,21.066666666666666,.663,12.3,34.06666666666667,14.5,8.733333333333333,5.2,14.233333333333333,18.5,False
Army,27,3,24,.111,-5.39,55.925925925925924,67.85185185185185,19.333333333333332,48.03703703703704,.402,6.296296296296297,18.11111111111111,.348,10.962962962962964,14.25925925925926,.769,6.407407407407407,27.77777777777778,11.444444444444445,5.222222222222222,1.6296296296296295,15.37037037037037,16.333333333333332,False
Auburn,31,14,17,.452,6.60,70.6774193548387,75.2258064516129,24.419354838709676,57.87096774193548,.422,8.35483870967742,24.35483870967742,.343,13.483870967741936,18.580645161290324,.726,11.290322580645162,33.12903225806452,12.96774193548387,7.354838709677419,1.935483870967742,14.483870967741936,20.129032258064516,False
Austin Peay,32,13,19,.406,-1.97,65.3125,67.09375,23.15625,53.375,.434,6.0,17.1875,.349,13.0,19.125,.680,10.59375,31.8125,12.90625,6.875,2.46875,14.28125,19.25,False
Ball State,28,15,13,.536,3.31,71.07142857142857,68.25,24.678571428571427,56.75,.435,7.285714285714286,19.357142857142858,.376,14.428571428571429,21.0,.687,12.607142857142858,34.67857142857143,11.928571428571429,5.535714285714286,2.4642857142857144,12.178571428571429,18.285714285714285,False
Baylor,28,9,19,.321,4.10,66.53571428571429,71.71428571428571,22.857142857142858,51.5,.444,7.75,21.142857142857142,.367,13.071428571428571,18.714285714285715,.698,10.607142857142858,27.714285714285715,13.321428571428571,7.607142857142857,1.8928571428571428,15.857142857142858,17.607142857142858,False
Belmont,30,14,16,.467,-7.32,70.26666666666667,70.03333333333333,23.9,55.96666666666667,.427,9.733333333333333,27.066666666666666,.360,12.733333333333333,18.833333333333332,.676,9.4,31.8,13.8,7.466666666666667,3.2,14.466666666666667,19.466666666666665,False
Bethune-Cookman,30,13,17,.433,-11.67,64.36666666666666,68.56666666666666,23.7,54.6,.434,6.433333333333334,18.733333333333334,.343,10.533333333333333,17.533333333333335,.601,9.333333333333334,31.766666666666666,13.566666666666666,8.1,2.433333333333333,16.333333333333332,19.233333333333334,False
Binghamton,29,12,17,.414,-2.57,61.51724137931034,63.41379310344828,21.517241379310345,54.793103448275865,.393,6.689655172413793,20.551724137931036,.326,11.793103448275861,17.96551724137931,.656,12.379310344827585,34.758620689655174,10.413793103448276,6.689655172413793,3.0,13.586206896551724,19.96551724137931,False
Birmingham-Southern,30,16,14,.533,-8.24,65.8,63.1,21.466666666666665,48.2,.445,6.9,19.333333333333332,.357,15.966666666666667,22.133333333333333,.721,11.726673017598717,33.2,11.166666666666666,5.233333333333333,2.2,13.333333333333334,19.566666666666666,False
Boise State,34,16,18,.471,0.61,70.38235294117646,74.23529411764706,25.176470588235293,58.44117647058823,.431,7.735294117647059,21.61764705882353,.358,12.294117647058824,17.941176470588236,.685,12.558823529411764,35.088235294117645,13.411764705882353,5.235294117647059,2.3529411764705883,14.911764705882353,18.5,False
Boston College NCAA,30,25,5,.833,6.41,72.46666666666667,64.5,25.6,56.166666666666664,.456,4.133333333333334,16.433333333333334,.252,17.133333333333333,24.066666666666666,.712,14.133333333333333,37.833333333333336,17.566666666666666,7.233333333333333,4.1,13.433333333333334,15.1,True
Boston University,29,20,9,.690,-3.86,62.827586206896555,55.724137931034484,22.724137931034484,52.793103448275865,.430,4.482758620689655,14.275862068965518,.314,12.89655172413793,19.17241379310345,.673,11.137931034482758,35.51724137931034,12.275862068965518,6.9655172413793105,4.931034482758621,12.068965517241379,15.620689655172415,False
Bowling Green State,29,18,11,.621,1.76,69.75862068965517,68.62068965517241,24.75862068965517,50.724137931034484,.488,6.448275862068965,17.0,.379,13.793103448275861,18.448275862068964,.748,8.758620689655173,31.103448275862068,16.82758620689655,6.758620689655173,3.793103448275862,15.0,21.344827586206897,False
Bradley,28,13,15,.464,4.55,69.96428571428571,71.28571428571429,24.964285714285715,57.607142857142854,.433,5.392857142857143,16.785714285714285,.321,14.642857142857142,20.607142857142858,.711,12.5,37.357142857142854,13.535714285714286,7.428571428571429,4.892857142857143,15.928571428571429,21.071428571428573,False
