School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,28,12,16,.429,1.46,57.25,57.0,19.142857142857142,39.785714285714285,.481,7.821428571428571,20.821428571428573,.376,11.142857142857142,17.107142857142858,.651,4.178571428571429,21.0,13.0,5.964285714285714,1.7857142857142858,11.428571428571429,18.75,False
Akron,28,14,14,.500,-1.43,78.60714285714286,76.96428571428571,27.178571428571427,55.785714285714285,.487,5.428571428571429,15.964285714285714,.340,18.821428571428573,25.785714285714285,.730,9.785714285714286,29.642857142857142,15.285714285714286,7.464285714285714,2.4642857142857144,12.464285714285714,19.714285714285715,False
Alabama A&M,27,8,19,.296,-11.83,72.66666666666667,76.74074074074075,24.814814814814813,62.22222222222222,.399,7.666666666666667,20.85185185185185,.368,15.37037037037037,21.74074074074074,.707,13.592592592592593,36.851851851851855,14.925925925925926,9.407407407407407,2.185185185185185,18.703703703703702,20.25925925925926,False
Alabama-Birmingham,34,21,13,.618,3.89,77.6470588235294,72.8529411764706,28.5,64.08823529411765,.445,6.4411764705882355,19.529411764705884,.330,14.205882352941176,20.823529411764707,.682,13.529411764705882,34.970588235294116,15.0,11.588235294117647,2.911764705882353,14.5,21.11764705882353,False
Alabama State,29,14,15,.483,-10.00,64.13793103448276,63.6551724137931,23.620689655172413,55.241379310344826,.428,6.172413793103448,17.620689655172413,.350,10.724137931034482,16.517241379310345,.649,12.172413793103448,35.96551724137931,11.724137931034482,8.241379310344827,3.1724137931034484,16.75862068965517,18.17241379310345,False
Alabama NCAA,29,17,12,.586,9.40,69.03448275862068,65.06896551724138,23.96551724137931,57.0,.420,6.310344827586207,19.586206896551722,.322,14.793103448275861,20.75862068965517,.713,13.413793103448276,37.206896551724135,12.137931034482758,6.448275862068965,3.8620689655172415,13.10344827586207,18.17241379310345,True
Albany (NY),28,7,21,.250,-5.09,65.92857142857143,75.71428571428571,24.035714285714285,57.464285714285715,.418,7.928571428571429,22.178571428571427,.357,9.928571428571429,13.535714285714286,.734,8.25,28.571428571428573,11.928571428571429,6.857142857142857,2.0357142857142856,12.571428571428571,15.892857142857142,False
Alcorn State,33,14,19,.424,-8.36,69.0909090909091,73.12121212121212,24.939393939393938,58.75757575757576,.424,5.212121212121212,16.424242424242426,.317,14.0,20.90909090909091,.670,13.090909090909092,36.27272727272727,13.848484848484848,8.181818181818182,3.515151515151515,18.454545454545453,19.696969696969695,False
American,30,16,14,.533,-5.85,66.36666666666666,61.9,23.166666666666668,53.53333333333333,.433,8.766666666666667,23.1,.380,11.266666666666667,16.533333333333335,.681,10.0,32.96666666666667,14.066666666666666,6.4,1.7,13.1,18.166666666666668,False
Appalachian State,29,19,10,.655,-3.46,83.93103448275862,79.62068965517241,29.103448275862068,65.0,.448,7.137931034482759,22.103448275862068,.323,18.586206896551722,25.96551724137931,.716,13.586206896551724,39.206896551724135,15.758620689655173,10.310344827586206,4.620689655172414,16.379310344827587,18.482758620689655,False
Arizona State NCAA,32,20,12,.625,9.27,77.0,70.53125,27.6875,57.4375,.482,4.09375,12.625,.324,17.53125,26.0,.674,13.5625,36.3125,15.8125,5.40625,4.34375,13.65625,19.5625,True
Arizona NCAA,32,28,4,.875,8.95,85.15625,70.6875,30.40625,65.96875,.461,7.125,20.15625,.353,17.21875,24.28125,.709,14.96875,42.9375,17.78125,8.5625,4.25,14.625,17.46875,True
Little Rock,30,18,12,.600,-0.91,70.83333333333333,70.36666666666666,24.033333333333335,52.7,.456,6.8,18.033333333333335,.377,15.966666666666667,23.133333333333333,.690,10.733333333333333,33.46666666666667,11.9,6.8,2.6,16.666666666666668,20.366666666666667,False
Arkansas-Pine Bluff,28,4,24,.143,-4.54,54.5,74.17857142857143,19.25,54.214285714285715,.355,4.75,16.857142857142858,.282,11.25,17.571428571428573,.640,9.964285714285714,30.964285714285715,10.071428571428571,7.928571428571429,2.6785714285714284,19.035714285714285,20.107142857142858,False
Arkansas State,28,13,15,.464,-1.37,74.0,68.5,24.571428571428573,55.32142857142857,.444,8.607142857142858,21.821428571428573,.394,16.25,21.857142857142858,.743,11.142857142857142,31.714285714285715,12.678571428571429,7.642857142857143,1.6785714285714286,13.214285714285714,21.321428571428573,False
Arkansas,28,9,19,.321,9.57,61.642857142857146,66.53571428571429,21.821428571428573,55.57142857142857,.393,6.071428571428571,19.571428571428573,.310,11.928571428571429,19.571428571428573,.609,14.535714285714286,37.964285714285715,9.821428571428571,6.464285714285714,3.5357142857142856,16.678571428571427,21.0,False
Army,27,5,22,.185,-5.92,54.888888888888886,65.51851851851852,19.962962962962962,47.77777777777778,.418,6.074074074074074,16.74074074074074,.363,8.88888888888889,13.037037037037036,.682,7.814814814814815,29.925925925925927,11.925925925925926,6.037037037037037,1.7407407407407407,17.14814814814815,18.88888888888889,False
Auburn NCAA,34,22,12,.647,8.34,70.82352941176471,65.73529411764706,25.852941176470587,55.588235294117645,.465,5.823529411764706,16.852941176470587,.346,13.294117647058824,20.147058823529413,.660,12.264705882352942,35.294117647058826,13.441176470588236,7.911764705882353,5.176470588235294,15.911764705882353,16.5,True
