School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,26,10,16,.385,2.59,68.1923076923077,69.73076923076923,23.53846153846154,54.92307692307692,.429,7.538461538461538,19.692307692307693,.383,13.576923076923077,20.807692307692307,.652,11.038461538461538,33.80769230769231,13.884615384615385,6.076923076923077,3.1153846153846154,14.23076923076923,21.0,False
Akron,27,17,10,.630,-0.66,75.33333333333333,67.5925925925926,27.074074074074073,57.333333333333336,.472,4.0,12.88888888888889,.310,17.185185185185187,24.74074074074074,.695,11.592592592592593,35.0,14.481481481481481,9.481481481481481,3.3703703703703702,14.296296296296296,17.555555555555557,False
Alabama-Birmingham,33,21,12,.636,4.67,75.21212121212122,72.15151515151516,26.060606060606062,58.93939393939394,.442,5.606060606060606,15.393939393939394,.364,17.484848484848484,25.939393939393938,.674,14.121212121212121,40.45454545454545,13.757575757575758,7.666666666666667,2.787878787878788,17.242424242424242,21.78787878787879,False
Alabama State,28,11,17,.393,-10.28,68.35714285714286,73.71428571428571,23.964285714285715,53.857142857142854,.445,4.607142857142857,12.821428571428571,.359,15.821428571428571,25.214285714285715,.627,13.107142857142858,36.5,9.071428571428571,8.75,2.1785714285714284,20.678571428571427,19.464285714285715,False
Alabama,31,15,16,.484,6.47,69.93548387096774,69.0,25.774193548387096,63.0,.409,6.0,18.516129032258064,.324,12.387096774193548,17.677419354838708,.701,15.96774193548387,40.87096774193548,11.225806451612904,7.064516129032258,5.451612903225806,15.258064516129032,18.451612903225808,False
Alcorn State,27,12,15,.444,-8.29,73.92592592592592,75.55555555555556,27.59259259259259,60.77777777777778,.454,5.037037037037037,15.074074074074074,.334,13.703703703703704,22.22222222222222,.617,14.074074074074074,38.44444444444444,13.925925925925926,8.185185185185185,3.3333333333333335,17.59259259259259,19.962962962962962,False
American,28,9,19,.321,-0.50,61.607142857142854,65.57142857142857,21.321428571428573,53.142857142857146,.401,5.714285714285714,16.571428571428573,.345,13.25,19.214285714285715,.690,12.714285714285714,34.42857142857143,10.142857142857142,7.285714285714286,3.1785714285714284,16.821428571428573,18.821428571428573,False
Appalachian State,29,21,8,.724,-5.81,72.03448275862068,66.10344827586206,25.551724137931036,56.758620689655174,.450,4.827586206896552,15.793103448275861,.306,16.103448275862068,25.20689655172414,.639,12.931034482758621,36.827586206896555,14.206896551724139,7.724137931034483,3.8620689655172415,14.89655172413793,17.655172413793103,False
Arizona State,32,18,14,.563,8.00,84.46875,84.0,31.84375,66.1875,.481,5.375,14.9375,.360,15.40625,20.65625,.746,11.84375,36.53125,19.96875,9.0625,3.5625,16.78125,17.4375,False
Arizona NCAA,35,30,5,.857,8.38,90.77142857142857,74.57142857142857,32.74285714285714,67.14285714285714,.488,7.685714285714286,20.4,.377,17.6,24.571428571428573,.716,14.657142857142857,39.2,19.34285714285714,10.057142857142857,3.2285714285714286,14.342857142857143,16.514285714285716,True
Little Rock,28,15,13,.536,-2.81,67.39285714285714,68.96428571428571,24.535714285714285,54.75,.448,4.785714285714286,14.535714285714286,.329,13.535714285714286,21.0,.645,11.0,34.214285714285715,14.464285714285714,5.357142857142857,3.0357142857142856,13.928571428571429,17.75,False
Arkansas-Pine Bluff,27,4,23,.148,-0.4384640522875814,71.19532946464442,77.96296296296296,25.20989595309542,57.604645118581544,0.43776797385620897,5.972745969681129,17.3818149543276,0.34301307189542457,14.802791588772433,21.945779985211736,0.674424836601307,15.592592592592593,36.31282475834805,13.94713450589011,7.615427074132551,3.1924554406049404,15.96729476675173,19.383409450587656,False
Arkansas State,29,20,9,.690,-3.11,74.82758620689656,70.51724137931035,26.448275862068964,57.241379310344826,.462,7.241379310344827,18.24137931034483,.397,14.689655172413794,20.896551724137932,.703,10.758620689655173,33.310344827586206,15.620689655172415,6.862068965517241,3.689655172413793,15.03448275862069,19.689655172413794,False
Arkansas NCAA,33,24,9,.727,5.78,82.3030303030303,72.39393939393939,29.818181818181817,66.9090909090909,.446,7.181818181818182,20.333333333333332,.353,15.484848484848484,23.87878787878788,.648,15.878787878787879,39.57575757575758,15.93939393939394,10.787878787878787,4.787878787878788,16.606060606060606,20.606060606060606,True
Army,27,8,19,.296,-8.18,64.07407407407408,75.11111111111111,21.962962962962962,53.370370370370374,.412,6.185185185185185,17.925925925925927,.345,13.962962962962964,20.703703703703702,.674,10.185185185185185,30.88888888888889,13.851851851851851,7.333333333333333,2.074074074074074,17.85185185185185,19.444444444444443,False
Auburn,30,16,14,.533,5.95,68.93333333333334,67.43333333333334,24.766666666666666,58.86666666666667,.421,6.566666666666666,20.266666666666666,.324,12.833333333333334,19.866666666666667,.646,14.733333333333333,39.43333333333333,12.4,7.166666666666667,5.066666666666666,16.4,18.666666666666668,False
Austin Peay,28,17,11,.607,-7.23,71.89285714285714,67.46428571428571,26.464285714285715,60.07142857142857,.441,6.571428571428571,19.714285714285715,.333,12.392857142857142,19.0,.652,13.821428571428571,37.07142857142857,15.214285714285714,9.607142857142858,4.464285714285714,15.535714285714286,16.785714285714285,False
Ball State,29,21,8,.724,0.68,78.41379310344827,69.13793103448276,29.379310344827587,62.55172413793103,.470,4.0,13.310344827586206,.301,15.655172413793103,23.655172413793103,.662,14.068965517241379,34.89655172413793,14.689655172413794,12.03448275862069,2.310344827586207,14.931034482758621,20.896551724137932,False
Baylor,28,14,14,.500,4.89,70.35714285714286,72.07142857142857,24.142857142857142,58.17857142857143,.415,7.75,23.214285714285715,.334,14.321428571428571,23.142857142857142,.619,12.928571428571429,38.67857142857143,14.071428571428571,6.75,4.142857142857143,16.178571428571427,19.357142857142858,False
