School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Abilene Christian,31,10,21,.323,-6.34,63.74193548387097,70.51612903225806,22.419354838709676,54.32258064516129,.413,7.483870967741935,19.677419354838708,.380,11.419354838709678,15.709677419354838,.727,8.838709677419354,28.93548387096774,12.709677419354838,6.548387096774194,1.2258064516129032,12.870967741935484,21.322580645161292,False
Air Force,31,14,17,.452,-0.71,65.70967741935483,65.06451612903226,23.93548387096774,50.483870967741936,.474,7.483870967741935,20.161290322580644,.371,10.35483870967742,15.709677419354838,.659,8.548387096774194,30.0,15.580645161290322,6.290322580645161,2.096774193548387,11.806451612903226,17.806451612903224,False
Akron,35,21,14,.600,-0.47,68.05714285714286,62.94285714285714,23.542857142857144,56.628571428571426,.416,9.371428571428572,26.771428571428572,.350,11.6,17.62857142857143,.658,12.0,35.68571428571428,12.428571428571429,6.571428571428571,4.428571428571429,12.057142857142857,18.685714285714287,False
Alabama A&M,29,9,20,.310,-9.62,61.96551724137931,68.55172413793103,20.96551724137931,52.86206896551724,.397,5.724137931034483,19.896551724137932,.288,14.310344827586206,22.17241379310345,.645,12.655172413793103,34.41379310344828,12.206896551724139,5.689655172413793,2.3448275862068964,14.241379310344827,19.75862068965517,False
Alabama-Birmingham NCAA,36,20,16,.556,1.62,68.77777777777777,68.11111111111111,24.25,56.72222222222222,.428,5.611111111111111,16.86111111111111,.333,14.666666666666666,19.86111111111111,.738,12.055555555555555,36.72222222222222,14.333333333333334,6.583333333333333,5.111111111111111,13.38888888888889,17.5,True
Alabama State,29,19,10,.655,-12.71,72.06896551724138,66.79310344827586,26.24137931034483,59.93103448275862,.438,5.931034482758621,16.551724137931036,.358,13.655172413793103,21.0,.650,13.413793103448276,39.689655172413794,13.551724137931034,6.344827586206897,4.206896551724138,13.689655172413794,17.93103448275862,False
Alabama,34,19,15,.559,8.09,67.05882352941177,64.11764705882354,22.352941176470587,50.705882352941174,.441,6.5,20.5,.317,15.852941176470589,22.11764705882353,.717,9.558823529411764,33.0,10.294117647058824,6.4411764705882355,3.676470588235294,11.970588235294118,19.235294117647058,False
Albany (NY) NCAA,33,24,9,.727,-5.18,65.33333333333333,60.484848484848484,22.09090909090909,50.484848484848484,.438,6.212121212121212,17.333333333333332,.358,14.93939393939394,19.696969696969695,.758,10.121212121212121,33.666666666666664,10.575757575757576,5.666666666666667,1.606060606060606,11.545454545454545,16.484848484848484,True
Alcorn State,32,6,26,.188,-9.95,64.5625,74.28125,22.625,58.25,.388,4.84375,17.28125,.280,14.46875,22.0,.658,11.75,32.4375,8.90625,5.96875,2.6875,11.46875,17.84375,False
American,33,17,16,.515,-3.71,58.72727272727273,58.57575757575758,20.696969696969695,44.81818181818182,.462,6.454545454545454,17.303030303030305,.373,10.878787878787879,15.424242424242424,.705,5.696969696969697,25.060606060606062,12.363636363636363,5.9393939393939394,2.5454545454545454,11.212121212121213,14.666666666666666,False
Appalachian State,29,12,17,.414,-3.18,63.48275862068966,70.10344827586206,21.96551724137931,55.241379310344826,.398,6.413793103448276,20.275862068965516,.316,13.137931034482758,18.517241379310345,.709,11.344827586206897,34.827586206896555,10.96551724137931,4.206896551724138,2.103448275862069,13.689655172413794,19.0,False
Arizona State,34,18,16,.529,6.66,69.41176470588235,66.55882352941177,23.794117647058822,53.470588235294116,.445,6.794117647058823,19.41176470588235,.350,15.029411764705882,22.529411764705884,.667,10.735294117647058,34.8235294117647,12.676470588235293,5.852941176470588,2.323529411764706,13.941176470588236,18.764705882352942,False
