School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,26,8,18,.308,2.41,69.73076923076923,73.96153846153847,23.576923076923077,57.26923076923077,.412,5.461538461538462,16.153846153846153,.338,17.115384615384617,24.23076923076923,.706,,34.19230769230769,10.807692307692308,6.461538461538462,4.269230769230769,12.73076923076923,19.576923076923077,False
Akron,26,8,18,.308,-2.22,61.57692307692308,66.42307692307692,22.807692307692307,56.92307692307692,.401,4.0,13.538461538461538,.295,11.961538461538462,19.23076923076923,.622,,33.15384615384615,12.884615384615385,8.192307692307692,1.6538461538461537,16.23076923076923,21.384615384615383,False
Alabama-Birmingham NCAA,30,22,8,.733,3.51,71.4,60.2,25.933333333333334,59.13333333333333,.439,6.7,17.6,.381,12.833333333333334,18.866666666666667,.680,,37.733333333333334,12.733333333333333,7.666666666666667,2.8666666666666667,11.966666666666667,17.3,True
Alabama State,29,19,10,.655,-12.09,84.27586206896552,80.3103448275862,31.20689655172414,66.79310344827586,.467,3.6551724137931036,10.689655172413794,.342,18.20689655172414,27.344827586206897,.666,,43.51724137931034,13.689655172413794,7.620689655172414,2.4482758620689653,15.0,18.03448275862069,False
Alabama NCAA,30,20,10,.667,6.06,73.6,69.46666666666667,26.233333333333334,58.666666666666664,.447,5.266666666666667,15.6,.338,15.866666666666667,24.1,.658,,39.56666666666667,13.066666666666666,7.933333333333334,5.166666666666667,16.933333333333334,19.433333333333334,True
Alcorn State,27,3,24,.111,-8.78,74.62962962962963,89.25925925925925,27.925925925925927,66.55555555555556,.420,5.962962962962963,16.22222222222222,.368,12.814814814814815,20.0,.641,,34.55555555555556,10.814814814814815,7.703703703703703,1.7777777777777777,17.11111111111111,19.37037037037037,False
American,27,8,19,.296,-2.18,75.88888888888889,83.29629629629629,27.333333333333332,65.07407407407408,.420,5.666666666666667,15.592592592592593,.363,15.555555555555555,23.74074074074074,.655,,38.03703703703704,14.296296296296296,8.25925925925926,2.814814814814815,15.37037037037037,19.555555555555557,False
Appalachian State,27,16,11,.593,-2.71,76.66666666666667,76.11111111111111,27.703703703703702,59.22222222222222,.468,6.111111111111111,16.51851851851852,.370,15.148148148148149,22.555555555555557,.672,,34.03703703703704,14.333333333333334,6.666666666666667,4.444444444444445,14.074074074074074,17.40740740740741,False
Arizona State,28,15,13,.536,7.80,77.07142857142857,75.32142857142857,27.107142857142858,61.75,.439,7.428571428571429,22.428571428571427,.331,15.428571428571429,23.535714285714285,.656,,36.357142857142854,13.821428571428571,8.5,2.892857142857143,15.142857142857142,18.857142857142858,False
Arizona NCAA,35,29,6,.829,8.84,89.25714285714285,74.4,31.65714285714286,65.37142857142857,.484,7.9714285714285715,22.485714285714284,.355,17.97142857142857,25.257142857142856,.712,,41.51428571428571,16.6,8.142857142857142,2.914285714285714,13.742857142857142,18.2,True
Little Rock,28,13,15,.464,-2.99,73.46428571428571,72.5,25.214285714285715,60.42857142857143,.417,5.357142857142857,15.5,.346,17.678571428571427,25.571428571428573,.691,,38.5,12.464285714285714,8.392857142857142,2.6785714285714284,15.392857142857142,21.107142857142858,False
Arkansas State,27,15,12,.556,-2.31,68.11111111111111,66.0,23.37037037037037,58.51851851851852,.399,6.518518518518518,20.62962962962963,.316,14.851851851851851,22.666666666666668,.655,,35.333333333333336,13.962962962962964,9.037037037037036,3.259259259259259,15.703703703703704,19.814814814814813,False
Arkansas NCAA,34,31,3,.912,7.55,93.41176470588235,75.55882352941177,33.94117647058823,69.5,.488,8.852941176470589,22.852941176470587,.387,16.676470588235293,24.529411764705884,.680,,41.64705882352941,20.205882352941178,10.352941176470589,3.7941176470588234,15.852941176470589,20.823529411764707,True
Army,27,7,20,.259,-7.60,77.5925925925926,85.55555555555556,26.333333333333332,60.77777777777778,.433,5.962962962962963,17.85185185185185,.334,18.962962962962962,27.814814814814813,.682,,37.81481481481482,12.666666666666666,6.037037037037037,1.5555555555555556,16.703703703703702,22.59259259259259,False
Auburn,28,11,17,.393,7.17,81.71428571428571,80.92857142857143,30.5,60.32142857142857,.506,6.5,17.107142857142858,.380,14.214285714285714,21.785714285714285,.652,,38.17857142857143,16.321428571428573,4.607142857142857,2.4642857142857144,17.464285714285715,19.428571428571427,False
Austin Peay,27,11,16,.407,-4.39,79.85185185185185,81.81481481481481,28.59259259259259,62.81481481481482,.455,5.185185185185185,13.777777777777779,.376,17.48148148148148,27.0,.647,,41.629629629629626,14.0,8.481481481481481,3.925925925925926,17.444444444444443,20.40740740740741,False
Ball State,28,16,12,.571,-0.53,74.32142857142857,72.21428571428571,28.0,57.5,.487,5.035714285714286,12.607142857142858,.399,13.285714285714286,19.428571428571427,.684,,35.107142857142854,16.142857142857142,6.321428571428571,2.25,16.357142857142858,17.428571428571427,False
Baylor,27,16,11,.593,-0.99,85.48148148148148,83.70370370370371,29.77777777777778,70.62962962962963,.422,6.592592592592593,20.25925925925926,.325,19.333333333333332,28.333333333333332,.682,,50.2962962962963,16.62962962962963,5.703703703703703,4.703703703703703,16.925925925925927,20.333333333333332,False
Bethune-Cookman,27,9,18,.333,-8.58,70.96296296296296,80.0,24.77777777777778,63.407407407407405,.391,5.37037037037037,17.59259259259259,.305,16.037037037037038,25.703703703703702,.624,,39.333333333333336,10.814814814814815,9.962962962962964,2.5555555555555554,19.037037037037038,22.48148148148148,False
Boise State NCAA,30,17,13,.567,0.25,72.46666666666667,69.03333333333333,28.266666666666666,59.266666666666666,.477,3.2,10.6,.302,12.733333333333333,21.566666666666666,.590,,36.63333333333333,17.333333333333332,8.9,4.766666666666667,16.2,18.5,True
Boston College NCAA,34,23,11,.676,9.83,78.17647058823529,70.02941176470588,27.764705882352942,58.94117647058823,.471,6.882352941176471,17.029411764705884,.404,15.764705882352942,23.11764705882353,.682,,37.8235294117647,15.764705882352942,6.9411764705882355,2.0588235294117645,13.617647058823529,17.764705882352942,True
Boston University,27,11,16,.407,-6.98,74.55555555555556,76.88888888888889,27.11111111111111,57.370370370370374,.473,5.2592592592592595,14.74074074074074,.357,15.074074074074074,23.85185185185185,.632,,39.74074074074074,16.0,7.185185185185185,5.851851851851852,18.0,20.14814814814815,False
Bowling Green State,28,18,10,.643,0.08,72.60714285714286,67.25,26.142857142857142,52.67857142857143,.496,4.571428571428571,12.357142857142858,.370,15.75,22.714285714285715,.693,,33.107142857142854,14.178571428571429,7.25,2.607142857142857,14.285714285714286,17.285714285714285,False
Bradley,31,23,8,.742,-1.15,69.03225806451613,64.7741935483871,24.741935483870968,53.354838709677416,.464,4.774193548387097,13.96774193548387,.342,14.774193548387096,23.258064516129032,.635,,35.0,14.096774193548388,8.516129032258064,2.5483870967741935,15.612903225806452,18.806451612903224,False
Brigham Young,32,22,10,.688,3.52,79.375,74.4375,27.375,55.59375,.492,4.40625,13.875,.318,20.21875,27.5,.735,,37.03125,15.0625,6.84375,3.375,14.8125,21.59375,False
Brown,26,12,14,.462,-5.74,64.76923076923077,71.46153846153847,22.76923076923077,56.46153846153846,.403,5.923076923076923,15.923076923076923,.372,13.307692307692308,19.53846153846154,.681,,34.61538461538461,13.384615384615385,6.615384615384615,2.769230769230769,15.307692307692308,21.192307692307693,False
Bucknell,27,10,17,.370,-8.86,83.07407407407408,82.14814814814815,29.666666666666668,66.29629629629629,.447,5.2592592592592595,17.555555555555557,.300,18.48148148148148,25.185185185185187,.734,,40.333333333333336,12.777777777777779,8.407407407407407,4.518518518518518,17.074074074074073,19.666666666666668,False
Buffalo,28,10,18,.357,-7.61,70.42857142857143,76.10714285714286,28.071428571428573,65.85714285714286,.426,2.0357142857142856,8.0,.254,12.25,21.214285714285715,.577,,40.214285714285715,13.0,8.857142857142858,4.464285714285714,16.75,19.25,False
Butler,29,16,13,.552,-0.03,74.72413793103448,72.55172413793103,25.448275862068964,55.48275862068966,.459,4.275862068965517,12.03448275862069,.355,19.551724137931036,27.689655172413794,.706,,38.3448275862069,13.379310344827585,5.655172413793103,1.4482758620689655,16.96551724137931,20.620689655172413,False
