School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Abilene Christian,32,16,16,.500,-6.82,73.71875,71.21875,27.1875,58.5625,.464,6.65625,20.5,.325,12.6875,18.09375,.701,9.65625,34.15625,15.0625,8.125,4.0,14.40625,20.96875,False
Air Force,31,12,19,.387,1.72,68.51612903225806,72.38709677419355,23.64516129032258,56.483870967741936,.419,8.064516129032258,24.35483870967742,.331,13.161290322580646,17.93548387096774,.734,9.741935483870968,32.70967741935484,14.35483870967742,6.483870967741935,2.5161290322580645,12.612903225806452,17.967741935483872,False
Akron,32,14,18,.438,-1.92,71.75,75.34375,24.78125,57.0,.435,9.53125,26.59375,.358,12.65625,18.1875,.696,9.5625,33.46875,13.0625,5.90625,2.53125,13.75,19.90625,False
Alabama A&M,31,3,28,.097,-8.04,60.41935483870968,76.35483870967742,21.70967741935484,54.74193548387097,.397,5.870967741935484,19.387096774193548,.303,11.129032258064516,17.193548387096776,.647,10.806451612903226,33.74193548387097,10.96774193548387,3.967741935483871,1.5806451612903225,16.580645161290324,16.322580645161292,False
Alabama-Birmingham,33,20,13,.606,-0.65,76.84848484848484,69.78787878787878,28.636363636363637,58.696969696969695,.488,6.757575757575758,19.575757575757574,.345,12.818181818181818,17.09090909090909,.750,10.090909090909092,38.03030303030303,16.96969696969697,5.393939393939394,3.8484848484848486,13.242424242424242,14.848484848484848,False
Alabama State,31,8,23,.258,-8.62,68.6774193548387,78.61290322580645,24.225806451612904,59.32258064516129,.408,6.741935483870968,20.580645161290324,.328,13.483870967741936,20.870967741935484,.646,12.709677419354838,36.483870967741936,10.096774193548388,5.451612903225806,4.193548387096774,14.096774193548388,20.903225806451612,False
Alabama NCAA,36,20,16,.556,10.64,72.33333333333333,70.63888888888889,25.27777777777778,54.861111111111114,.461,6.361111111111111,19.5,.326,15.416666666666666,23.0,.670,10.0,35.833333333333336,12.722222222222221,6.333333333333333,5.333333333333333,14.25,18.77777777777778,True
Albany (NY),32,22,10,.688,-5.41,74.21875,68.1875,26.21875,57.375,.457,5.75,15.6875,.367,16.03125,21.25,.754,11.78125,37.21875,12.65625,4.6875,2.84375,11.59375,16.5,False
Alcorn State,32,11,21,.344,-8.60,70.125,74.625,24.71875,57.0,.434,7.46875,21.78125,.343,13.21875,18.6875,.707,9.53125,34.5,13.09375,6.25,2.65625,14.34375,19.15625,False
American,30,6,24,.200,-6.17,65.36666666666666,73.83333333333333,23.266666666666666,53.833333333333336,.432,7.966666666666667,23.633333333333333,.337,10.866666666666667,16.366666666666667,.664,8.066666666666666,28.966666666666665,12.233333333333333,7.233333333333333,3.2666666666666666,13.766666666666667,18.333333333333332,False
Appalachian State,33,15,18,.455,-2.65,76.36363636363636,74.18181818181819,26.181818181818183,60.09090909090909,.436,8.848484848484848,26.03030303030303,.340,15.151515151515152,22.696969696969695,.668,11.787878787878787,39.15151515151515,12.454545454545455,6.0,3.5454545454545454,13.848484848484848,19.0,False
Arizona State NCAA,32,20,12,.625,6.56,82.65625,74.84375,27.75,60.0,.463,9.0,24.78125,.363,18.15625,24.78125,.733,9.84375,35.1875,14.3125,6.53125,3.5625,10.71875,18.875,True
Arizona NCAA,35,27,8,.771,6.84,80.51428571428572,71.68571428571428,28.82857142857143,57.22857142857143,.504,6.771428571428571,18.34285714285714,.369,16.085714285714285,21.17142857142857,.760,10.085714285714285,36.48571428571429,15.17142857142857,4.942857142857143,4.514285714285714,12.17142857142857,17.228571428571428,True
Little Rock,32,7,25,.219,-2.21,63.6875,70.0625,23.4375,54.875,.427,6.25,19.46875,.321,10.5625,17.3125,.610,10.0625,34.03125,12.21875,4.96875,2.90625,14.34375,19.125,False
Arkansas-Pine Bluff,35,14,21,.400,-9.36,65.91428571428571,71.4,23.285714285714285,53.22857142857143,.437,6.2,18.857142857142858,.329,13.142857142857142,19.457142857142856,.675,7.9714285714285715,29.257142857142856,12.2,7.857142857142857,4.114285714285714,14.285714285714286,19.542857142857144,False
Arkansas State,32,11,21,.344,-3.02,74.03125,78.84375,26.28125,59.6875,.440,7.375,21.71875,.340,14.09375,19.625,.718,11.21875,33.5,10.75,6.71875,2.96875,13.09375,18.40625,False
Arkansas NCAA,35,23,12,.657,9.85,80.54285714285714,75.62857142857143,28.714285714285715,60.542857142857144,.474,7.685714285714286,19.457142857142856,.395,15.428571428571429,22.65714285714286,.681,10.028571428571428,34.51428571428571,14.314285714285715,6.228571428571429,4.6571428571428575,10.885714285714286,20.0,True
Army,30,13,17,.433,-7.17,74.33333333333333,74.1,27.333333333333332,61.5,.444,9.833333333333334,25.7,.383,9.833333333333334,14.933333333333334,.658,10.066666666666666,35.766666666666666,16.7,5.666666666666667,2.7666666666666666,13.433333333333334,19.766666666666666,False
Auburn NCAA,34,26,8,.765,7.29,81.8529411764706,73.17647058823529,26.647058823529413,61.8235294117647,.431,9.529411764705882,26.705882352941178,.357,19.029411764705884,24.58823529411765,.774,11.970588235294118,37.94117647058823,14.147058823529411,7.411764705882353,5.294117647058823,12.088235294117647,19.764705882352942,True
Austin Peay,34,19,15,.559,-2.49,73.88235294117646,71.94117647058823,26.91176470588235,59.1764705882353,.455,5.9411764705882355,17.41176470588235,.341,14.117647058823529,21.676470588235293,.651,13.058823529411764,35.55882352941177,13.323529411764707,6.617647058823529,3.0294117647058822,14.058823529411764,19.735294117647058,False
Ball State,32,19,13,.594,-1.99,75.3125,73.8125,26.75,59.21875,.452,7.65625,22.71875,.337,14.15625,20.09375,.705,10.0,37.8125,14.15625,5.3125,3.5,13.21875,17.09375,False
Baylor,34,19,15,.559,9.17,75.61764705882354,69.67647058823529,27.676470588235293,59.029411764705884,.469,6.382352941176471,17.88235294117647,.357,13.823529411764707,18.823529411764707,.734,11.764705882352942,38.0,15.176470588235293,5.4411764705882355,4.470588235294118,13.617647058823529,17.88235294117647,False
Belmont,33,24,9,.727,-2.88,77.63636363636364,69.21212121212122,27.303030303030305,56.15151515151515,.486,11.454545454545455,30.454545454545453,.376,11.575757575757576,15.666666666666666,.739,7.818181818181818,34.333333333333336,16.03030303030303,4.878787878787879,2.484848484848485,12.424242424242424,16.09090909090909,False
Bethune-Cookman,32,18,14,.563,-12.48,81.90625,79.46875,28.21875,63.71875,.443,7.53125,23.71875,.318,17.96875,25.625,.701,13.25,42.0625,15.65625,6.3125,3.84375,15.84375,20.9375,False
Binghamton,31,11,20,.355,-6.36,69.25806451612904,70.35483870967742,25.387096774193548,57.25806451612903,.443,7.580645161290323,21.64516129032258,.350,10.903225806451612,17.032258064516128,.640,9.129032258064516,34.38709677419355,12.129032258064516,5.483870967741935,4.225806451612903,12.290322580645162,16.838709677419356,False
Boise State,32,23,9,.719,3.05,78.1875,69.0625,27.4375,59.46875,.461,9.59375,25.28125,.379,13.71875,18.59375,.738,10.03125,38.5,13.34375,5.71875,2.1875,13.53125,17.90625,False
Boston College,35,19,16,.543,7.20,76.37142857142857,74.57142857142857,27.085714285714285,60.142857142857146,.450,8.514285714285714,23.742857142857144,.359,13.685714285714285,18.457142857142856,.741,10.542857142857143,36.94285714285714,14.057142857142857,5.0,3.142857142857143,12.6,16.285714285714285,False
Boston University,31,15,16,.484,-5.84,70.51612903225806,71.80645161290323,25.806451612903224,55.806451612903224,.462,7.387096774193548,19.806451612903224,.373,11.516129032258064,18.032258064516128,.639,9.709677419354838,33.67741935483871,13.548387096774194,7.387096774193548,3.3225806451612905,13.774193548387096,17.129032258064516,False
Bowling Green State,32,16,16,.500,-2.88,75.90625,77.8125,25.84375,61.34375,.421,7.53125,21.5625,.349,16.6875,22.8125,.732,11.625,38.3125,13.28125,5.90625,2.5625,12.75,17.78125,False
Bradley,33,20,13,.606,0.36,67.36363636363636,64.72727272727273,23.272727272727273,54.18181818181818,.430,6.575757575757576,18.575757575757574,.354,14.242424242424242,20.151515151515152,.707,10.878787878787879,35.696969696969695,13.545454545454545,6.484848484848484,4.03030303030303,13.363636363636363,18.96969696969697,False
Brigham Young,35,24,11,.686,1.53,74.28571428571429,67.77142857142857,26.257142857142856,54.42857142857143,.482,6.428571428571429,18.542857142857144,.347,15.342857142857143,20.457142857142856,.750,6.914285714285715,32.74285714285714,15.228571428571428,6.4,3.8,11.514285714285714,17.02857142857143,False
Brown,27,11,16,.407,-4.67,77.03703703703704,79.0,25.74074074074074,60.407407407407405,.426,6.888888888888889,21.77777777777778,.316,18.666666666666668,24.703703703703702,.756,11.481481481481481,36.592592592592595,12.518518518518519,6.444444444444445,3.0,13.481481481481481,20.925925925925927,False
Bryant,31,3,28,.097,-5.43,69.96774193548387,83.29032258064517,24.870967741935484,60.67741935483871,.410,8.35483870967742,24.35483870967742,.343,11.870967741935484,16.838709677419356,.705,10.064516129032258,32.25806451612903,13.451612903225806,6.129032258064516,1.3870967741935485,12.935483870967742,19.35483870967742,False
Bucknell NCAA,35,25,10,.714,-3.46,81.05714285714286,73.11428571428571,27.571428571428573,58.57142857142857,.471,8.0,22.97142857142857,.348,17.914285714285715,24.914285714285715,.719,9.285714285714286,36.6,14.428571428571429,5.542857142857143,4.3428571428571425,12.485714285714286,18.714285714285715,True
Buffalo NCAA,36,27,9,.750,0.25,84.63888888888889,76.16666666666667,30.694444444444443,64.83333333333333,.473,9.75,26.333333333333332,.370,13.5,19.305555555555557,.699,11.944444444444445,38.55555555555556,16.583333333333332,6.25,4.055555555555555,12.38888888888889,20.97222222222222,True
Butler NCAA,35,21,14,.600,10.55,78.94285714285714,72.57142857142857,29.142857142857142,61.57142857142857,.473,8.2,23.0,.357,12.457142857142857,16.057142857142857,.776,9.257142857142858,34.22857142857143,13.971428571428572,6.628571428571429,2.857142857142857,11.17142857142857,18.34285714285714,True
Cal Poly,31,9,22,.290,-1.83,67.16129032258064,74.25806451612904,23.258064516129032,58.61290322580645,.397,8.612903225806452,24.06451612903226,.358,12.03225806451613,15.419354838709678,.780,9.387096774193548,33.354838709677416,12.0,4.967741935483871,3.935483870967742,11.806451612903226,18.225806451612904,False
Cal State Bakersfield,30,12,18,.400,-0.73,66.03333333333333,68.93333333333334,23.233333333333334,55.666666666666664,.417,6.166666666666667,20.433333333333334,.302,13.4,19.266666666666666,.696,11.433333333333334,35.6,12.9,6.066666666666666,2.9,13.866666666666667,19.9,False
Cal State Fullerton NCAA,32,20,12,.625,-1.02,72.4375,70.15625,25.125,53.78125,.467,5.21875,15.625,.334,16.96875,23.28125,.729,8.75,35.09375,12.59375,6.28125,3.3125,14.21875,18.0625,True
