School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,26,10,16,.385,2.53,76.1923076923077,80.1923076923077,24.192307692307693,65.5,.369,8.961538461538462,28.384615384615383,.316,18.846153846153847,26.923076923076923,.700,17.03846153846154,41.76923076923077,10.807692307692308,8.038461538461538,3.0384615384615383,14.5,22.5,False
Akron,27,18,9,.667,1.11,75.22222222222223,70.55555555555556,25.037037037037038,55.44444444444444,.452,5.925925925925926,16.25925925925926,.364,19.22222222222222,25.62962962962963,.750,11.185185185185185,32.592592592592595,14.296296296296296,8.037037037037036,2.5555555555555554,13.444444444444445,17.11111111111111,False
Alabama A&M,27,10,17,.370,-0.4460645161290321,77.33333333333333,84.4074074074074,26.40740740740741,70.25925925925925,.376,7.2592592592592595,23.37037037037037,.311,17.25925925925926,26.703703703703702,.646,16.88888888888889,42.111111111111114,12.148148148148149,10.62962962962963,3.5185185185185186,16.095533856958784,22.666666666666668,False
Alabama-Birmingham NCAA,32,20,12,.625,5.40,74.0,70.53125,26.71875,59.03125,.453,4.84375,15.0,.323,15.71875,23.125,.680,13.78125,38.65625,14.53125,9.15625,2.75,17.03125,19.71875,True
Alabama State,27,11,16,.407,-9.83,67.22222222222223,70.03703703703704,22.925925925925927,55.407407407407405,.414,4.592592592592593,14.703703703703704,.312,16.77777777777778,26.037037037037038,.644,15.037037037037036,38.7037037037037,10.962962962962964,9.0,2.2962962962962963,19.333333333333332,17.962962962962962,False
Alabama,32,17,15,.531,6.66,67.0,67.9375,24.4375,56.5625,.432,4.1875,12.5,.335,13.9375,19.5625,.712,13.9375,37.96875,11.96875,7.28125,3.59375,16.75,19.5625,False
Alcorn State NCAA,30,23,7,.767,-10.48,75.8,66.9,26.533333333333335,63.4,.419,6.2,19.2,.323,16.533333333333335,25.733333333333334,.642,18.4,45.5,13.466666666666667,10.966666666666667,3.933333333333333,19.3,19.766666666666666,True
American,28,7,21,.250,-1.60,64.46428571428571,69.67857142857143,23.678571428571427,60.5,.391,4.25,14.285714285714286,.298,12.857142857142858,20.214285714285715,.636,16.285714285714285,40.42857142857143,11.5,8.392857142857142,3.5714285714285716,18.75,17.607142857142858,False
Appalachian State,29,21,8,.724,-5.32,74.75862068965517,66.06896551724138,26.75862068965517,57.275862068965516,.467,4.724137931034483,12.793103448275861,.369,16.517241379310345,24.620689655172413,.671,12.586206896551724,37.10344827586207,16.03448275862069,10.586206896551724,3.5172413793103448,15.758620689655173,18.82758620689655,False
Arizona State,30,14,16,.467,8.25,74.53333333333333,72.23333333333333,26.8,60.666666666666664,.442,5.9,17.733333333333334,.333,15.033333333333333,21.6,.696,12.866666666666667,36.7,17.066666666666666,8.3,2.566666666666667,15.333333333333334,19.833333333333332,False
Arizona NCAA,29,22,7,.759,8.31,82.17241379310344,75.20689655172414,28.275862068965516,60.48275862068966,.468,4.931034482758621,14.10344827586207,.350,20.689655172413794,29.137931034482758,.710,15.068965517241379,41.6551724137931,14.448275862068966,7.344827586206897,3.206896551724138,16.79310344827586,18.0,True
Little Rock,27,12,15,.444,-2.94,66.29629629629629,70.51851851851852,24.0,51.51851851851852,.466,6.444444444444445,16.962962962962962,.380,11.851851851851851,17.14814814814815,.691,9.444444444444445,31.88888888888889,12.703703703703704,4.7407407407407405,2.2962962962962963,14.407407407407407,14.11111111111111,False
Arkansas-Pine Bluff,27,3,24,.111,-8.07,66.4074074074074,82.77777777777777,25.37037037037037,65.18518518518519,.389,4.407407407407407,16.59259259259259,.266,11.25925925925926,19.037037037037038,.591,13.962962962962964,37.333333333333336,12.25925925925926,9.074074074074074,3.4814814814814814,17.88888888888889,17.88888888888889,False
Arkansas State NCAA,30,18,12,.600,-0.72,73.53333333333333,68.7,26.6,58.266666666666666,.457,5.3,16.266666666666666,.326,15.033333333333333,21.833333333333332,.689,11.966666666666667,34.266666666666666,14.9,8.833333333333334,3.433333333333333,14.966666666666667,19.333333333333332,True
Arkansas NCAA,34,23,11,.676,6.01,78.67647058823529,71.8529411764706,28.823529411764707,64.88235294117646,.444,8.705882352941176,23.764705882352942,.366,12.323529411764707,18.58823529411765,.663,14.264705882352942,37.23529411764706,16.558823529411764,9.764705882352942,4.323529411764706,14.529411764705882,18.61764705882353,True
Army,27,8,19,.296,-6.51,59.81481481481482,72.88888888888889,21.11111111111111,54.074074074074076,.390,4.925925925925926,15.296296296296296,.322,12.666666666666666,17.666666666666668,.717,9.407407407407407,31.074074074074073,11.25925925925926,7.666666666666667,2.5925925925925926,17.85185185185185,21.814814814814813,False
Auburn NCAA,33,29,4,.879,4.93,81.21212121212122,61.60606060606061,29.515151515151516,68.03030303030303,.434,7.090909090909091,20.363636363636363,.348,15.090909090909092,23.21212121212121,.650,19.484848484848484,44.0,13.969696969696969,9.909090909090908,3.393939393939394,12.878787878787879,19.03030303030303,True
Austin Peay,27,11,16,.407,-4.94,72.55555555555556,75.44444444444444,26.333333333333332,57.2962962962963,.460,6.222222222222222,18.185185185185187,.342,13.666666666666666,20.62962962962963,.662,12.88888888888889,35.48148148148148,13.703703703703704,6.888888888888889,3.4444444444444446,16.51851851851852,17.14814814814815,False
Ball State,27,16,11,.593,1.38,66.5925925925926,65.18518518518519,23.48148148148148,57.333333333333336,.410,5.444444444444445,16.074074074074073,.339,14.11111111111111,21.59259259259259,.654,12.925925925925926,36.074074074074076,11.88888888888889,7.7407407407407405,2.925925925925926,13.962962962962964,17.22222222222222,False
Baylor,30,6,24,.200,3.46,61.53333333333333,70.23333333333333,21.466666666666665,56.766666666666666,.378,5.433333333333334,18.833333333333332,.288,13.166666666666666,20.066666666666666,.656,12.7,36.1,10.266666666666667,7.233333333333333,3.466666666666667,17.266666666666666,20.4,False
Bethune-Cookman,27,11,16,.407,-9.08,66.33333333333333,69.5925925925926,23.48148148148148,53.333333333333336,.440,3.962962962962963,13.555555555555555,.292,15.407407407407407,22.22222222222222,.693,10.518518518518519,33.333333333333336,13.518518518518519,7.925925925925926,2.6296296296296298,16.962962962962962,18.555555555555557,False
Boise State,29,21,8,.724,-3.25,68.51724137931035,61.724137931034484,23.517241379310345,50.96551724137931,.461,5.931034482758621,16.137931034482758,.368,15.551724137931034,21.896551724137932,.710,11.172413793103448,30.344827586206897,13.344827586206897,9.551724137931034,3.1379310344827585,16.17241379310345,20.20689655172414,False
Boston College,27,6,21,.222,7.78,62.55555555555556,71.55555555555556,23.037037037037038,56.333333333333336,.409,5.7407407407407405,17.11111111111111,.335,10.74074074074074,16.22222222222222,.662,11.555555555555555,31.296296296296298,11.62962962962963,9.62962962962963,2.5925925925925926,17.14814814814815,19.51851851851852,False
Boston University,27,9,18,.333,-6.09,64.29629629629629,67.55555555555556,22.51851851851852,54.666666666666664,.412,5.962962962962963,17.85185185185185,.334,13.296296296296296,21.037037037037038,.632,11.703703703703704,35.629629629629626,14.185185185185185,6.851851851851852,1.9259259259259258,16.51851851851852,21.85185185185185,False
Bowling Green State,28,18,10,.643,2.43,70.71428571428571,65.14285714285714,24.678571428571427,53.785714285714285,.459,4.714285714285714,14.5,.325,16.642857142857142,22.928571428571427,.726,10.25,33.57142857142857,13.571428571428571,9.0,3.0,15.178571428571429,20.0,False
Bradley,29,17,12,.586,5.13,62.89655172413793,61.206896551724135,21.24137931034483,49.55172413793103,.429,5.9655172413793105,16.137931034482758,.370,14.448275862068966,20.896551724137932,.691,11.068965517241379,33.206896551724135,11.620689655172415,8.586206896551724,3.896551724137931,16.896551724137932,19.620689655172413,False
Brigham Young,28,12,16,.429,4.29,71.75,73.39285714285714,23.964285714285715,53.107142857142854,.451,6.285714285714286,16.928571428571427,.371,17.535714285714285,24.178571428571427,.725,10.285714285714286,36.214285714285715,12.821428571428571,6.714285714285714,3.107142857142857,17.285714285714285,20.892857142857142,False
Brown,26,4,22,.154,-7.26,60.69230769230769,72.42307692307692,21.153846153846153,51.92307692307692,.407,5.5,17.153846153846153,.321,12.884615384615385,17.192307692307693,.749,9.038461538461538,29.153846153846153,11.23076923076923,5.730769230769231,1.7692307692307692,14.423076923076923,18.0,False
Bucknell,29,16,13,.552,-7.82,66.86206896551724,61.3448275862069,23.20689655172414,52.724137931034484,.440,5.655172413793103,17.620689655172413,.321,14.793103448275861,22.137931034482758,.668,11.758620689655173,36.206896551724135,14.10344827586207,8.241379310344827,4.0344827586206895,17.517241379310345,19.655172413793103,False
Buffalo,29,5,24,.172,0.54,58.93103448275862,73.82758620689656,20.862068965517242,56.44827586206897,.370,5.103448275862069,18.310344827586206,.279,12.10344827586207,18.0,.672,12.655172413793103,36.10344827586207,12.862068965517242,6.586206896551724,3.6206896551724137,19.137931034482758,19.0,False
Butler,32,22,10,.688,1.40,63.5,60.03125,21.5625,49.03125,.440,3.84375,11.875,.324,16.53125,23.96875,.690,10.0,32.34375,13.75,7.21875,1.78125,14.59375,17.28125,False
Cal Poly,27,11,16,.407,-3.90,84.92592592592592,85.11111111111111,29.074074074074073,66.70370370370371,.436,9.444444444444445,26.814814814814813,.352,17.333333333333332,23.666666666666668,.732,13.962962962962964,37.407407407407405,15.222222222222221,8.222222222222221,2.1481481481481484,15.481481481481481,18.925925925925927,False
Cal State Fullerton,27,13,14,.481,-2.72,70.03703703703704,74.0,24.037037037037038,55.55555555555556,.433,5.851851851851852,17.074074074074073,.343,16.11111111111111,23.962962962962962,.672,12.185185185185185,35.7037037037037,13.518518518518519,6.666666666666667,2.925925925925926,16.59259259259259,19.185185185185187,False
Cal State Northridge,29,17,12,.586,-1.58,82.0,77.06896551724138,29.517241379310345,63.03448275862069,.468,6.9655172413793105,19.655172413793103,.354,16.0,24.20689655172414,.661,13.827586206896552,36.275862068965516,17.75862068965517,10.689655172413794,2.689655172413793,18.275862068965516,21.620689655172413,False
UC-Irvine,26,6,20,.231,-1.63,65.07692307692308,70.03846153846153,22.692307692307693,52.23076923076923,.434,6.8076923076923075,18.53846153846154,.367,12.884615384615385,18.46153846153846,.698,8.76923076923077,30.692307692307693,13.307692307692308,6.653846153846154,2.5,16.692307692307693,20.96153846153846,False
UC-Santa Barbara,28,15,13,.536,-3.16,70.39285714285714,69.35714285714286,26.571428571428573,59.607142857142854,.446,4.428571428571429,13.857142857142858,.320,12.821428571428571,19.964285714285715,.642,13.75,38.642857142857146,16.321428571428573,8.428571428571429,2.0,15.428571428571429,16.607142857142858,False
University of California,33,22,11,.667,7.85,72.9090909090909,68.6969696969697,26.303030303030305,60.90909090909091,.432,3.5454545454545454,11.424242424242424,.310,16.757575757575758,24.96969696969697,.671,13.090909090909092,36.36363636363637,12.666666666666666,8.424242424242424,3.727272727272727,13.727272727272727,18.303030303030305,False
Campbell,27,9,18,.333,-7.63,63.74074074074074,71.62962962962963,23.14814814814815,54.0,.429,7.148148148148148,19.62962962962963,.364,10.296296296296296,15.518518518518519,.663,11.37037037037037,33.074074074074076,14.0,5.7407407407407405,2.888888888888889,17.074074074074073,18.333333333333332,False
Canisius,27,15,12,.556,-4.77,71.03703703703704,73.29629629629629,24.59259259259259,54.851851851851855,.448,5.666666666666667,14.25925925925926,.397,16.185185185185187,23.074074074074073,.701,12.666666666666666,34.81481481481482,15.555555555555555,6.074074074074074,3.2962962962962963,15.851851851851851,18.814814814814813,False
Centenary (LA),28,14,14,.500,-7.13,63.035714285714285,66.17857142857143,21.678571428571427,50.07142857142857,.433,4.642857142857143,14.107142857142858,.329,15.035714285714286,21.857142857142858,.688,12.70965791360508,33.214285714285715,10.5,5.142857142857143,2.392857142857143,14.821428571428571,20.571428571428573,False
Central Connecticut State,32,19,13,.594,-10.40,70.71875,68.1875,25.75,57.3125,.449,3.5625,11.90625,.299,15.65625,23.28125,.672,14.5625,37.1875,13.59375,8.75,3.9375,16.28125,17.53125,False
Central Florida,29,19,10,.655,-5.29,72.65517241379311,69.27586206896552,26.275862068965516,56.55172413793103,.465,6.344827586206897,17.586206896551722,.361,13.758620689655173,19.448275862068964,.707,12.96551724137931,37.0,14.448275862068966,7.0344827586206895,3.4482758620689653,17.275862068965516,18.24137931034483,False
Central Michigan,26,10,16,.385,0.62,70.15384615384616,72.26923076923077,23.692307692307693,54.57692307692308,.434,5.230769230769231,15.423076923076923,.339,17.53846153846154,24.884615384615383,.705,10.653846153846153,34.69230769230769,13.26923076923077,7.346153846153846,3.1923076923076925,16.692307692307693,19.73076923076923,False
Charleston Southern,28,12,16,.429,-7.88,72.21428571428571,76.75,25.178571428571427,54.642857142857146,.461,4.107142857142857,12.392857142857142,.331,17.75,25.535714285714285,.695,11.428571428571429,33.607142857142854,12.642857142857142,9.642857142857142,3.4642857142857144,19.071428571428573,23.892857142857142,False
Charlotte NCAA,34,23,11,.676,7.13,68.70588235294117,65.29411764705883,23.323529411764707,55.911764705882355,.417,7.382352941176471,19.764705882352942,.374,14.676470588235293,21.823529411764707,.673,13.617647058823529,36.088235294117645,12.705882352941176,7.117647058823529,2.7941176470588234,13.558823529411764,19.08823529411765,True
Chattanooga,28,16,12,.571,-5.75,67.78571428571429,65.0,23.928571428571427,55.107142857142854,.434,5.964285714285714,16.571428571428573,.360,13.964285714285714,20.357142857142858,.686,13.464285714285714,35.92857142857143,13.25,6.714285714285714,3.6785714285714284,15.107142857142858,16.464285714285715,False
Chicago State,27,3,24,.111,-0.41,54.629629629629626,75.03703703703704,20.444444444444443,59.03703703703704,.346,5.7407407407407405,19.74074074074074,.291,8.0,13.074074074074074,.612,13.222222222222221,33.333333333333336,11.074074074074074,7.703703703703703,2.8518518518518516,16.444444444444443,19.22222222222222,False
Cincinnati NCAA,33,27,6,.818,7.70,73.93939393939394,61.21212121212121,26.96969696969697,58.18181818181818,.464,5.03030303030303,15.393939393939394,.327,14.969696969696969,22.03030303030303,.680,14.424242424242424,39.09090909090909,14.090909090909092,7.757575757575758,4.606060606060606,14.454545454545455,18.696969696969695,True
Citadel,27,9,18,.333,-7.19,62.7037037037037,67.44444444444444,22.296296296296298,52.333333333333336,.426,6.518518518518518,18.88888888888889,.345,11.592592592592593,18.59259259259259,.624,10.592592592592593,33.370370370370374,12.518518518518519,7.407407407407407,2.740740740740741,17.037037037037038,20.25925925925926,False
Clemson,35,20,15,.571,6.59,71.65714285714286,64.65714285714286,25.057142857142857,54.57142857142857,.459,6.6571428571428575,19.0,.350,14.885714285714286,24.0,.620,14.028571428571428,38.68571428571428,15.057142857142857,6.485714285714286,3.1714285714285713,15.257142857142858,19.085714285714285,False
Cleveland State,28,14,14,.500,0.27,70.64285714285714,71.28571428571429,24.857142857142858,55.5,.448,4.892857142857143,14.678571428571429,.333,16.035714285714285,24.892857142857142,.644,14.25,32.714285714285715,12.821428571428571,7.857142857142857,2.8214285714285716,17.821428571428573,22.5,False
Coastal Carolina,27,7,20,.259,-8.35,71.66666666666667,80.33333333333333,25.85185185185185,60.0,.431,6.62962962962963,19.48148148148148,.340,13.333333333333334,19.333333333333332,.690,13.592592592592593,33.074074074074076,12.814814814814815,8.518518518518519,1.962962962962963,19.074074074074073,19.85185185185185,False
Colgate,28,14,14,.500,-7.22,65.21428571428571,64.25,23.25,52.92857142857143,.439,4.071428571428571,11.535714285714286,.353,14.642857142857142,22.964285714285715,.638,11.785714285714286,34.607142857142854,12.107142857142858,8.464285714285714,2.142857142857143,17.25,18.178571428571427,False
College of Charleston NCAA,31,28,3,.903,-6.59,72.83870967741936,59.16129032258065,26.774193548387096,54.903225806451616,.488,4.516129032258065,12.290322580645162,.367,14.774193548387096,20.93548387096774,.706,12.741935483870968,37.03225806451613,14.129032258064516,9.129032258064516,6.32258064516129,14.387096774193548,16.451612903225808,True
Colorado State,30,19,11,.633,3.02,72.26666666666667,66.36666666666666,25.066666666666666,55.43333333333333,.452,6.266666666666667,18.1,.346,15.866666666666667,23.8,.667,10.966666666666667,34.766666666666666,13.3,8.0,4.066666666666666,13.733333333333333,19.033333333333335,False
Colorado,33,18,15,.545,4.86,73.06060606060606,68.39393939393939,25.424242424242426,61.39393939393939,.414,6.606060606060606,19.181818181818183,.344,15.606060606060606,23.484848484848484,.665,12.848484848484848,37.90909090909091,14.606060606060606,8.515151515151516,3.8181818181818183,14.727272727272727,19.21212121212121,False
Columbia,26,10,16,.385,-6.62,58.46153846153846,65.07692307692308,20.615384615384617,49.19230769230769,.419,5.1923076923076925,17.423076923076923,.298,12.038461538461538,19.192307692307693,.627,8.423076923076923,28.846153846153847,11.884615384615385,9.038461538461538,1.7307692307692308,14.346153846153847,19.03846153846154,False
Connecticut NCAA,36,34,2,.944,8.80,77.25,61.30555555555556,27.38888888888889,58.638888888888886,.467,4.833333333333333,14.055555555555555,.344,17.63888888888889,24.11111111111111,.732,13.972222222222221,40.30555555555556,15.305555555555555,7.972222222222222,4.194444444444445,14.527777777777779,16.72222222222222,True
Coppin State,29,15,14,.517,-6.98,68.6896551724138,68.58620689655173,22.03448275862069,56.724137931034484,.388,7.482758620689655,20.344827586206897,.368,17.137931034482758,24.275862068965516,.706,13.793103448275861,36.6551724137931,11.517241379310345,7.9655172413793105,2.7586206896551726,16.413793103448278,20.551724137931036,False
Cornell,26,11,15,.423,-7.57,64.11538461538461,65.76923076923077,23.615384615384617,54.92307692307692,.430,5.423076923076923,16.807692307692307,.323,11.461538461538462,18.23076923076923,.629,12.576923076923077,37.30769230769231,11.923076923076923,6.576923076923077,3.8076923076923075,15.653846153846153,18.807692307692307,False
