School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Abilene Christian,31,11,20,.355,-4.12,71.41935483870968,71.87096774193549,23.774193548387096,53.67741935483871,.443,7.774193548387097,19.322580645161292,.402,16.096774193548388,21.483870967741936,.749,9.870967741935484,32.61290322580645,12.96774193548387,7.129032258064516,2.3225806451612905,14.612903225806452,20.677419354838708,False
Air Force,30,12,18,.400,1.71,66.0,69.13333333333334,22.633333333333333,52.03333333333333,.435,7.2,21.766666666666666,.331,13.533333333333333,19.6,.690,8.766666666666667,32.333333333333336,13.966666666666667,5.466666666666667,3.1333333333333333,13.333333333333334,18.766666666666666,False
Akron,34,21,13,.618,-0.48,68.58823529411765,66.94117647058823,23.91176470588235,54.55882352941177,.438,7.029411764705882,20.294117647058822,.346,13.735294117647058,22.058823529411764,.623,12.117647058823529,34.55882352941177,11.382352941176471,6.617647058823529,4.176470588235294,13.117647058823529,17.823529411764707,False
Alabama A&M,30,14,16,.467,-10.58,64.53333333333333,67.0,21.866666666666667,53.36666666666667,.410,6.066666666666666,18.7,.324,14.733333333333333,22.466666666666665,.656,10.0,33.833333333333336,12.666666666666666,6.233333333333333,4.166666666666667,13.2,21.433333333333334,False
Alabama-Birmingham,31,18,13,.581,-0.77,73.09677419354838,70.3225806451613,25.806451612903224,61.903225806451616,.417,5.096774193548387,16.93548387096774,.301,16.387096774193548,24.903225806451612,.658,16.387096774193548,44.54838709677419,12.64516129032258,5.451612903225806,4.129032258064516,13.0,17.516129032258064,False
Alabama State,32,19,13,.594,-11.40,70.78125,69.53125,24.75,59.125,.419,5.46875,19.125,.286,15.8125,23.375,.676,12.71875,36.1875,12.96875,6.78125,3.59375,11.78125,18.0625,False
Alabama,32,13,19,.406,8.88,67.8125,67.1875,23.15625,52.15625,.444,5.71875,17.125,.334,15.78125,23.03125,.685,10.0,32.8125,10.96875,6.8125,4.28125,11.875,18.96875,False
Albany (NY) NCAA,34,19,15,.559,-5.22,65.8529411764706,63.94117647058823,22.5,50.970588235294116,.441,4.794117647058823,13.323529411764707,.360,16.058823529411764,21.41176470588235,.750,10.088235294117647,34.55882352941177,11.058823529411764,5.411764705882353,2.9705882352941178,12.588235294117647,17.058823529411764,True
Alcorn State,31,12,19,.387,-9.27,64.03225806451613,67.7741935483871,22.35483870967742,53.483870967741936,.418,4.387096774193548,14.483870967741936,.303,14.935483870967742,22.838709677419356,.654,9.741935483870968,30.93548387096774,9.129032258064516,5.967741935483871,3.7419354838709675,11.483870967741936,18.612903225806452,False
American NCAA,33,20,13,.606,-3.25,63.06060606060606,59.121212121212125,22.666666666666668,46.27272727272727,.490,6.2727272727272725,16.545454545454547,.379,11.454545454545455,16.21212121212121,.707,7.03030303030303,29.87878787878788,14.909090909090908,6.0,3.3333333333333335,14.06060606060606,17.181818181818183,True
