School,Overall G,Overall W,Overall L,Overall W-L%,Overall SOS,Points Tm.,Points Opp.,Totals FG,Totals FGA,Totals FG%,Totals 3P,Totals 3PA,Totals 3P%,Totals FT,Totals FTA,Totals FT%,Totals ORB,Totals TRB,Totals AST,Totals STL,Totals BLK,Totals TOV,Totals PF,Class
Air Force,29,13,16,.448,2.14,61.58620689655172,62.0,21.24137931034483,47.689655172413794,.445,6.620689655172414,19.620689655172413,.337,12.482758620689655,18.517241379310345,.674,6.137931034482759,26.448275862068964,13.89655172413793,6.689655172413793,3.103448275862069,12.793103448275861,16.93103448275862,False
Akron,34,22,12,.647,0.72,72.23529411764706,65.91176470588235,25.529411764705884,55.26470588235294,.462,6.088235294117647,16.470588235294116,.370,15.088235294117647,21.794117647058822,.692,11.705882352941176,32.294117647058826,13.970588235294118,7.264705882352941,4.147058823529412,14.117647058823529,18.11764705882353,False
Alabama A&M,28,7,21,.250,-10.79,63.0,70.14285714285714,22.464285714285715,54.92857142857143,.409,5.25,16.75,.313,12.821428571428571,19.821428571428573,.647,11.285714285714286,30.321428571428573,11.214285714285714,6.357142857142857,4.25,16.535714285714285,22.035714285714285,False
Alabama-Birmingham,31,15,16,.484,3.64,60.483870967741936,61.516129032258064,21.096774193548388,50.29032258064516,.419,5.774193548387097,16.774193548387096,.344,12.516129032258064,18.258064516129032,.686,11.290322580645162,32.16129032258065,11.35483870967742,4.387096774193548,3.5483870967741935,14.161290322580646,15.935483870967742,False
Alabama State,31,12,19,.387,-9.96,59.354838709677416,64.35483870967742,20.903225806451612,55.29032258064516,.378,6.129032258064516,20.032258064516128,.306,11.419354838709678,19.548387096774192,.584,12.903225806451612,31.677419354838708,11.516129032258064,7.612903225806452,3.064516129032258,15.161290322580646,19.806451612903224,False
Alabama NCAA,33,21,12,.636,7.18,64.6969696969697,58.121212121212125,23.575757575757574,52.18181818181818,.452,4.121212121212121,14.242424242424242,.289,13.424242424242424,18.87878787878788,.711,10.666666666666666,32.303030303030305,12.181818181818182,7.242424242424242,4.151515151515151,12.818181818181818,18.393939393939394,True
Albany (NY),34,19,15,.559,-6.92,72.1470588235294,69.1470588235294,24.764705882352942,55.55882352941177,.446,7.205882352941177,19.794117647058822,.364,15.411764705882353,20.41176470588235,.755,11.764705882352942,31.529411764705884,12.470588235294118,5.676470588235294,2.7941176470588234,12.617647058823529,17.0,False
Alcorn State,32,10,22,.313,-10.61,60.1875,67.125,21.53125,52.15625,.413,4.0,13.15625,.304,13.125,18.9375,.693,9.09375,27.25,9.0625,6.21875,3.25,15.0625,18.9375,False
American,32,20,12,.625,-5.24,64.34375,62.21875,22.28125,52.4375,.425,7.09375,18.0,.394,12.6875,17.71875,.716,8.78125,29.625,12.625,4.5625,2.875,11.09375,17.0,False
Appalachian State,31,13,18,.419,-3.28,68.41935483870968,70.16129032258064,24.06451612903226,54.61290322580645,.441,6.548387096774194,19.06451612903226,.343,13.741935483870968,21.161290322580644,.649,10.741935483870968,32.54838709677419,12.225806451612904,6.032258064516129,4.032258064516129,14.32258064516129,19.64516129032258,False
